Latitude,Longitude,Pop,pch
38.1625,54.8,RU003,19
38.36722222,42.77361111,TR004,19
38.76722222,37.00388889,TR003,19
39.7825,41.07361111,TR005,19
40.15666667,22.54805556,GR001,19
40.62138889,23.07861111,GR002,15
40.85083333,25.79305556,GR003,19
41.75111111,27.24777778,TR001,15
43.38194444,28.4575,BG001,15
43.90243333,28.57391667,RO002,19
44.05,43.06000278,RU008,15
44.11027778,28.63694444,RO001,19
44.13999722,44.02,RU006,1
44.38966667,28.52663889,RO003,19
45.32583333,37.22361111,RU007,1
45.49786111,27.91180556,RO005,19
45.57618333,29.51805,RO004,19
45.70833333,33.34972222,UA006,19
46.75722222,32.76611111,UA008,19
47.64194444,18.7825,HU001,19
47.862,38.46069444,UA005,19
48.09222222,30.74972222,UA007,19
48.10066667,37.81611111,UA001,19
48.15233333,37.84058333,UA002,19
48.64602778,30.77508333,UA004,19
49.1791667,53.2422611,RU002,19
49.1876667,53.2534694,RU005,19
50.48075,30.48630556,UA003,19
51.38333333,56.8,RU001,19
60.16666667,55.01666667,RU004,19
