ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat	MsrDay	MsrDate	LfCount	MaxLfLgth	MaxLfWdth	Bolted	BoltCount	MaxBoltHt	BoltHt1	BoltHt2	BoltHt3	BoltHt4	BoltHt5	BoltHt6	BoltHt7	FlrHeadCount	Notes	HarvestDay	HarvestDate	CrownDiam.mm	ShootMass.g	RootMass.g	BiomassNotes			
BG001.16.a	41	6	BG001	16	a	nat	cut	76	29-Nov-09	22			n												76	29-Nov-09	6.07		0.33				
BG001.16.b	12	11	BG001	16	b	nat	cont	86	9-Dec-09	16	21.2	5.3	n												85	9-Dec-09	7.14	2.944	1.373				
BG001.16.f	5	40	BG001	16	f	nat	cont	85	8-Dec-09	21	31.8	4.2	n												86	9-Dec-09	8.48	3.474	1.388				
BG001.16.j	24	43	BG001	16	j	nat	cont	85	8-Dec-09	11	27.1	4.2	n												85	8-Dec-09	7.09	1.918	1.705				
BG001.17.b	36	13	BG001	17	b	nat	nut def	75	28-Nov-09	15	16.2	4	n												77	30-Nov-09	6.31	1.275	3.38				
BG001.17.c	20	38	BG001	17	c	nat	nut def	80	3-Dec-09	11	14.6	3.8	n												80	3-Dec-09	5.82	1.1	2.353				
BG001.17.d	18	23	BG001	17	d	nat	cont	85	8-Dec-09	17	19.8	3.3	n												85	8-Dec-09	6.26	1.658	2.325				
BG001.17.e	34	39	BG001	17	e	nat	cont	84	7-Dec-09	12	31	5.2	n											Catapillar damage	84	7-Dec-09	7.4	2.329	0.93				
BG001.17.f	29	31	BG001	17	f	nat	cont	85	8-Dec-09	14	25.5	5.4	y	1	22.5	22.5							0		85	8-Dec-09	9.86	3.609	1.905				
BG001.17.g	27	3	BG001	17	g	nat	nut def	80	3-Dec-09	16	12.4	3.3	n												80	3-Dec-09	5.66	1.138	2.121				
BG001.17.j	10	6	BG001	17	j	nat	cut	76	29-Nov-09	27			n												76	29-Nov-09	6.74		1.31				
BG001.22.b	44	4	BG001	22	b	nat	cont	84	7-Dec-09	11	19.9	6.1	y	1	27	27							0		84	7-Dec-09	9.36	2.972	1.086				
BG001.22.c	2	31	BG001	22	c	nat	nut def	78	1-Dec-09	15	13.9	3.2	n												78	1-Dec-09	6.52	1.031	2.129				
BG001.22.d	26	28	BG001	22	d	nat	nut def	80	3-Dec-09	16	16.9	4	n												80	3-Dec-09	4.85	1.213	2.72				
BG001.22.f	30	25	BG001	22	f	nat	cont	86	9-Dec-09	24	28.5	5.7	y	1	3.5	3.5							0		86	9-Dec-09	8.42	3.184	1.291				
BG001.22.g	49	21	BG001	22	g	nat	nut def	75	28-Nov-09	19	19.1	5	n												77	30-Nov-09	5.97	1.257	3.597				
BG001.22.h	7	29	BG001	22	h	nat	cont	86	9-Dec-09	15	29.7	4.6	n												86	9-Dec-09	7.76	2.679	1.026				
BG001.22.i	4	19	BG001	22	i	nat	cut	76	29-Nov-09	22			y	1	40	40							0		76	29-Nov-09	7.2		1.028				
BG001.22.j	47	40	BG001	22	j	nat	nut def	80	3-Dec-09	22	16.5	3	n												80	3-Dec-09	6.36	1.177	2.17				
BG001.25.a	6	36	BG001	25	a	nat	cont	86	9-Dec-09	0			n												86	9-Dec-09	7.58	1.872	0.433				
BG001.25.b	40	10	BG001	25	b	nat	cont	84	7-Dec-09	0			y	1	24	24							0		84	7-Dec-09	5.91	1.98	0.943				
BG001.25.e	11	48	BG001	25	e	nat	cut	77	30-Nov-09	9			n												77	30-Nov-09	7.23		0.744				
BG001.25.f	33	12	BG001	25	f	nat	cut	76	29-Nov-09	35			n												76	29-Nov-09	7.01		1.624				
BG001.25.h	16	8	BG001	25	h	nat	cut	77	30-Nov-09	0			n												77	30-Nov-09	6.84		1.666				
BG001.25.i	13	34	BG001	25	i	nat	nut def	78	1-Dec-09	11	13.3	3.2	n												78	1-Dec-09	6.54	1.114	3.439				
BG001.29.a	F2	33	BG001	29	a	nat	flood	71	24-Nov-09	0			y	4	18.5	18.5	10.9	8.2	6.8				57	"4 bolts:8.2, 6.8, 10.9, 18.5"	91	14-Dec-09	10	1.917	0.381				
