PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log	Latitude	Longitude	bolt.bin
1	BG001	16	8	25	h	nat	cut	BG001.25.h	77	0	y	77	6.84	1.666	21	n	NA	13	11.2	2.9	NA	NA	38	NA	NA	NA	38	1	6.5	69	1	31.5	NA			3.60555127546399	2.41591377830105	1.06471073699243	4.58257569495584	0	1.92278773163446	0.510425543744651	43.3819444444444	28.4575	1
2	BG001	10	6	17	j	nat	cut	BG001.17.j	76	27	n	76	6.74	1.31	20	n	NA	11	8.3	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.11625551480255	0.955511445027436	4.47213595499958	5.19615242270663	1.90805992492422	0.27002713721306	43.3819444444444	28.4575	0
3	BG001	41	6	16	a	nat	cut	BG001.16.a	76	22	n	76	6.07	0.33	17	n	NA	14	14.4	3.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.74165738677394	2.66722820658195	1.30833281965018	4.12310562561766	4.69041575982343	1.80335860507141	-1.10866262452161	43.3819444444444	28.4575	0
4	BG001	33	12	25	f	nat	cut	BG001.25.f	76	35	n	76	7.01	1.624	19	n	NA	12	15.2	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.72129542785223	1.25276296849537	4.35889894354067	5.91607978309962	1.9473377010465	0.484892241739486	43.3819444444444	28.4575	0
5	BG001	4	19	22	i	nat	cut	BG001.22.i	76	22	y	76	7.2	1.028	18	n	NA	13	10.3	2.4	NA	NA	53	NA	NA	NA	53	1	4	69	1	32.5	NA			3.60555127546399	2.33214389523559	0.8754687373539	4.24264068711928	4.69041575982343	1.97408102602201	0.0276151670329734	43.3819444444444	28.4575	1
6	BG001	38	17	29	g	nat	cut	BG001.29.g	76	37	n	76	7.41	1.53	24	n	NA	13	15	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.70805020110221	1.38629436111989	4.89897948556636	6.08276253029822	2.002830439308	0.425267735404344	43.3819444444444	28.4575	0
7	BG001	11	48	25	e	nat	cut	BG001.25.e	77	9	y	77	7.23	0.744	16	n	NA	11	12.5	2.6	NA	NA	39	NA	NA	NA	NA	NA	NA	69	1	17	NA			3.3166247903554	2.52572864430826	0.955511445027436	4	3	1.97823903617067	-0.295714244149045	43.3819444444444	28.4575	1
8	CA001	33	11	6	a	inv	cut	CA001.6.a	76	38	n	76	9.32	2.362	18	n	NA	10	17.6	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.86789890204411	1.52605630349505	4.24264068711928	6.16441400296898	2.2321626286975	0.859508717775171	49.0149388888889	-122.882097222222	0
9	CA001	38	4	4	j	inv	cut	CA001.4.j	76	27	n	76	5.27	1.291	16	n	NA	10	13.5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.60268968544438	1.38629436111989	4	5.19615242270663	1.66203036255327	0.255417111864505	49.0149388888889	-122.882097222222	0
10	CA001	10	41	2	j	inv	cut	CA001.2.j	76	18	n	76	5.51	2.015	19	y	NA	12	11.3	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.42480272571829	1.22377543162212	4.35889894354067	4.24264068711928	1.70656462316482	0.700619195398646	49.0149388888889	-122.882097222222	0
