PopID	Rack	Pos	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	Latitude	Longitude	lxw
1	BG001	17	48	16	h	nat	drought	2	4	16		BG001.16.h	14	13.2	4.1	3.74165738677394	2.58021682959233	1.41098697371026	43.3819444444444	28.4575	54.12
2	BG001	50	36	29	f	nat	drought	4	5	13		BG001.29.f	12	15.5	4.2	3.46410161513775	2.7408400239252	1.43508452528932	43.3819444444444	28.4575	65.1
3	BG001	48	36	29	i	nat	drought	3	6	12		BG001.29.i	13	13.9	2.9	3.60555127546399	2.63188884013665	1.06471073699243	43.3819444444444	28.4575	40.31
4	BG001	1	37	16	i	nat	drought	3	5	13		BG001.16.i	12	14.7	3	3.46410161513775	2.68784749378469	1.09861228866811	43.3819444444444	28.4575	44.1
5	BG001	37	36	22	e	nat	drought	5	7	12		BG001.22.e	13	12	1	3.60555127546399	2.484906649788	0	43.3819444444444	28.4575	12
6	BG001	46	43	17	h	nat	drought	5	7	12		BG001.17.h	12	12	1.8	3.46410161513775	2.484906649788	0.587786664902119	43.3819444444444	28.4575	21.6
7	BG001	19	40	25	d	nat	drought	1	4	13		BG001.25.d	12	12.1	3.2	3.46410161513775	2.4932054526027	1.16315080980568	43.3819444444444	28.4575	38.72
8	CA001	46	27	7	f	inv	drought	5	6	15		CA001.7.f	9	14.7	4.2	3	2.68784749378469	1.43508452528932	49.0149388888889	-122.882097222222	61.74
9	CA001	50	9	6	j	inv	drought	1	4	8		CA001.6.j	12	15.2	4.2	3.46410161513775	2.72129542785223	1.43508452528932	49.0149388888889	-122.882097222222	63.84
10	CA001	48	28	3	e	inv	drought	2	6	12		CA001.3.e	11	15.4	4.6	3.3166247903554	2.73436750941958	1.52605630349505	49.0149388888889	-122.882097222222	70.84
11	CA001	17	17	7	j	inv	drought	2	5	11		CA001.7.j	10	17.4	4.7	3.16227766016838	2.85647020622048	1.54756250871601	49.0149388888889	-122.882097222222	81.78
12	CA001	37	35	2	g	inv	drought	4	6	11		CA001.2.g	9	15.5	4	3	2.7408400239252	1.38629436111989	49.0149388888889	-122.882097222222	62
13	CA001	1	25	4	h	inv	drought	4	6	12		CA001.4.h	13	11	3.3	3.60555127546399	2.39789527279837	1.19392246847243	49.0149388888889	-122.882097222222	36.3
14	CA001	19	19	3	d	inv	drought	3	4	11		CA001.3.d	13	15.1	3.9	3.60555127546399	2.71469474382088	1.3609765531356	49.0149388888889	-122.882097222222	58.89
15	CA008	50	6	5	m	inv	drought	5	8	12		CA008.5.m	10	12.2	3.8	3.16227766016838	2.50143595173921	1.33500106673234	49.0120833333333	-118.645711111111	46.36
16	CA008	19	27	4	a	inv	drought	2	4	12		CA008.4.a	13	14.5	2.5	3.60555127546399	2.67414864942653	0.916290731874155	49.0120833333333	-118.645711111111	36.25
17	CA008	17	16	4	d	inv	drought	3	6	12		CA008.4.d	12	12.7	3.6	3.46410161513775	2.54160199346455	1.28093384546206	49.0120833333333	-118.645711111111	45.72
18	CA008	37	17	5	e	inv	drought	3	5	14		CA008.5.e	12	15	4.5	3.46410161513775	2.70805020110221	1.50407739677627	49.0120833333333	-118.645711111111	67.5
19	CA008	1	43	2	e	inv	drought	1	3	12		CA008.2.e	13	13	4	3.60555127546399	2.56494935746154	1.38629436111989	49.0120833333333	-118.645711111111	52
20	GR001	50	4	28	a	nat	drought	5	7	13		GR001.28.a	8	13.2	3.3	2.82842712474619	2.58021682959233	1.19392246847243	40.1566666666667	22.5480555555556	43.56
21	GR001	48	1	26	b	nat	drought	3	6	11		GR001.26.b	10	13.6	3.1	3.16227766016838	2.61006979274201	1.1314021114911	40.1566666666667	22.5480555555556	42.16
22	GR001	17	46	14	f	nat	drought	2	4	12		GR001.14.f	10	14.8	3	3.16227766016838	2.69462718077007	1.09861228866811	40.1566666666667	22.5480555555556	44.4
23	GR001	1	14	14	a	nat	drought	8	10	16		GR001.14.a	8	16.8	4.6	2.82842712474619	2.82137888640921	1.52605630349505	40.1566666666667	22.5480555555556	77.28
24	GR001	46	5	14	g	nat	drought	4	6	12		GR001.14.g	11	16	3	3.3166247903554	2.77258872223978	1.09861228866811	40.1566666666667	22.5480555555556	48
25	GR001	37	8	14	j	nat	drought	3	6	12		GR001.14.j	7	15.5	3	2.64575131106459	2.7408400239252	1.09861228866811	40.1566666666667	22.5480555555556	46.5
26	GR002	17	44	25	e	nat	drought	1	3	12		GR002.25.e	11	11.8	2.3	3.3166247903554	2.46809953147162	0.832909122935104	40.6213888888889	23.0786111111111	27.14
27	GR002	48	39	13	h	nat	drought	3	4	12		GR002.13.h	10	18.2	5.2	3.16227766016838	2.90142159408275	1.64865862558738	40.6213888888889	23.0786111111111	94.64
28	GR002	46	35	17	e	nat	drought	4	7	13		GR002.17.e	10	15.4	2.4	3.16227766016838	2.73436750941958	0.8754687373539	40.6213888888889	23.0786111111111	36.96
29	GR002	1	26	13	i	nat	drought	3	5	16		GR002.13.i	8	17.8	3.6	2.82842712474619	2.87919845729804	1.28093384546206	40.6213888888889	23.0786111111111	64.08
30	GR002	50	50	2	d	nat	drought	3	6	13		GR002.2.d	11	12.4	3.2	3.3166247903554	2.51769647261099	1.16315080980568	40.6213888888889	23.0786111111111	39.68
31	GR002	37	26	25	c	nat	drought	6	8	18		GR002.25.c	7	18	2	2.64575131106459	2.89037175789616	0.693147180559945	40.6213888888889	23.0786111111111	36
32	GR003	1	5	10	f	nat	drought	3	6	13		GR003.10.f	10	13.8	3.8	3.16227766016838	2.62466859216316	1.33500106673234	40.8508333333333	25.7930555555556	52.44
33	GR003	37	42	9	b	nat	drought	3	7	12		GR003.9.b	10	12	2	3.16227766016838	2.484906649788	0.693147180559945	40.8508333333333	25.7930555555556	24
