PopID	Pos	Mom	Indiv	Origin	Rack	Trt	ID	FRack	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	Latitude	Longitude
1	BG001	35	29	c	nat	45	flood	BG001.29.c	F1	71	0	NA	NA	y	91	NA	NA	NA	6	NA	NA	F1-35	29	39	1	19.8	69	1	20	NA		10	15.1	3.1	3.16227766016838	2.71469474382088	1.1314021114911	0	NA	NA	NA	NA	NA	43.3819444444444	28.4575
2	BG001	26	16	e	nat	23	flood	BG001.16.e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	21	19	FLOAT-19	NA	NA	NA	NA	NA	NA	NA	NA		14	11.5	3.1	3.74165738677394	2.4423470353692	1.1314021114911	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575
3	BG001	28	16	g	nat	35	flood	BG001.16.g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		11	17	4.5	3.3166247903554	2.83321334405622	1.50407739677627	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575
4	BG001	33	29	a	nat	43	flood	BG001.29.a	F2	71	0	NA	NA	y	91	10	1.917	0.381	5	NA	NA	F2-33	20	39	1	16.1	69	1	20.5	NA		12	12.9	3.1	3.46410161513775	2.55722731136763	1.1314021114911	0	NA	NA	2.30258509299405	0.650761464063507	-0.964955903855436	43.3819444444444	28.4575
5	BG001	26	16	d	nat	14	flood	BG001.16.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	18	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	15.7	4	3.16227766016838	2.75366071235426	1.38629436111989	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575
6	BG001	16	29	h	nat	3	flood	BG001.29.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	24	NA		NA	NA	NA	NA	NA	NA	NA	NA		13	14.4	4.4	3.60555127546399	2.66722820658195	1.48160454092422	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575
7	BG001	38	17	i	nat	39	flood	BG001.17.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	24	19	FLOAT-19	NA	NA	NA	NA	NA	NA	NA	NA		10	14	3	3.16227766016838	2.63905732961526	1.09861228866811	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575
8	CA001	29	3	h	inv	35	flood	CA001.3.h	F1	71	11	15.3	3.4	n	91	8.82	1.355	0.8	5	NA	25	F1-29	NA	NA	NA	NA	NA	NA	NA	NA		10	19	5.6	3.16227766016838	2.94443897916644	1.7227665977411	3.3166247903554	2.72785282839839	1.22377543162212	2.1770218700187	0.303801454331664	-0.22314355131421	49.0149388888889	-122.882097222222
9	CA001	27	4	i	inv	43	flood	CA001.4.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	19	FLOAT-19	NA	NA	NA	NA	NA	NA	NA	NA		10	13.1	3.1	3.16227766016838	2.57261223020711	1.1314021114911	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222
10	CA001	6	7	c	inv	14	flood	CA001.7.c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	16	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		12	14.5	4.5	3.46410161513775	2.67414864942653	1.50407739677627	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222
11	CA001	4	2	d	inv	3	flood	CA001.2.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	36	16	F1-4	NA	NA	NA	NA	NA	NA	NA	NA		11	14.1	3.7	3.3166247903554	2.64617479738412	1.30833281965018	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222
12	CA001	50	7	a	inv	45	flood	CA001.7.a	F1	71	57	16.6	3.9	n	91	13.91	2.575	1.419	6	NA	NA	F1-50	NA	NA	NA	NA	NA	NA	NA	NA		14	12.7	3.3	3.74165738677394	2.54160199346455	1.19392246847243	7.54983443527075	2.8094026953625	1.3609765531356	2.63260800593535	0.945849534115699	0.349952398177906	49.0149388888889	-122.882097222222
13	CA001	21	6	b	inv	39	flood	CA001.6.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	29	25	FLOAT-25	NA	NA	NA	NA	NA	NA	NA	NA		8	17	4.5	2.82842712474619	2.83321334405622	1.50407739677627	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222
14	CA001	45	4	b	inv	23	flood	CA001.4.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	36	19	F1-45	NA	NA	NA	NA	NA	NA	NA	NA		9	12	3.5	3	2.484906649788	1.25276296849537	NA	NA	NA	NA	NA	NA	49.0149388888889	-122.882097222222
15	CA008	1	6	i	inv	35	flood	CA008.6.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12	NA		NA	NA	NA	NA	NA	NA	NA	NA		8	10	1.5	2.82842712474619	2.30258509299405	0.405465108108164	NA	NA	NA	NA	NA	NA	49.0120833333333	-118.645711111111
16	CA008	41	4	m	inv	39	flood	CA008.4.m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	16	3.5	3.16227766016838	2.77258872223978	1.25276296849537	NA	NA	NA	NA	NA	NA	49.0120833333333	-118.645711111111
17	CA008	6	6	d	inv	23	flood	CA008.6.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	19	NA		NA	NA	NA	NA	NA	NA	NA	NA		8	13	4	2.82842712474619	2.56494935746154	1.38629436111989	NA	NA	NA	NA	NA	NA	49.0120833333333	-118.645711111111
18	CA008	20	5	h	inv	3	flood	CA008.5.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11	NA		NA	NA	NA	NA	NA	NA	NA	NA		8	10.6	3.4	2.82842712474619	2.36085400111802	1.22377543162212	NA	NA	NA	NA	NA	NA	49.0120833333333	-118.645711111111
19	CA008	21	6	b	inv	14	flood	CA008.6.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	20	FLOAT-20	NA	NA	NA	NA	NA	NA	NA	NA		12	15.8	3.7	3.46410161513775	2.76000994003292	1.30833281965018	NA	NA	NA	NA	NA	NA	49.0120833333333	-118.645711111111
20	GR001	32	26	l	nat	39	flood	GR001.26.l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	14	12	FLOAT-12	NA	NA	NA	NA	NA	NA	NA	NA		9	13.5	1	3	2.60268968544438	0	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
21	GR001	43	28	d	nat	45	flood	GR001.28.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		8	14.5	2.6	2.82842712474619	2.67414864942653	0.955511445027436	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
22	GR001	35	26	f	nat	14	flood	GR001.26.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	14	12	FF-12	NA	NA	NA	NA	NA	NA	NA	NA		7	14.4	1.4	2.64575131106459	2.66722820658195	0.336472236621213	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
23	GR001	15	14	d	nat	23	flood	GR001.14.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	17	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	14.5	4.4	3.16227766016838	2.67414864942653	1.48160454092422	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
24	GR001	46	6	g	nat	35	flood	GR001.6.g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		4	12.5	2.5	2	2.52572864430826	0.916290731874155	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
25	GR001	10	28	c	nat	43	flood	GR001.28.c	F2	71	4	13.4	3	y	74	5.47	1.273	0.315	7	NA	NA	F2-10	50	NA	NA	NA	69	1	26	NA		7	12.3	2.5	2.64575131106459	2.50959926237837	0.916290731874155	2	2.59525470695687	1.09861228866811	1.69927861643389	0.241376319575269	-1.1551826401565	40.1566666666667	22.5480555555556
26	GR001	48	14	b	nat	3	flood	GR001.14.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	24	NA		NA	NA	NA	NA	NA	NA	NA	NA		9	11.3	2.6	3	2.42480272571829	0.955511445027436	NA	NA	NA	NA	NA	NA	40.1566666666667	22.5480555555556
