PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
1	BG001	20	38	17	c	nat	nut def	BG001.17.c	80	11	14.6	3.8	n	80	5.82	1.1	2.353	17	15.4	4.3	n	NA	11	13	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.56494935746154	1.19392246847243	4.12310562561766	2.73436750941958	1.45861502269952	3.3166247903554	2.68102152871429	1.33500106673234	1.76130026174335	0.0953101798043249	0.855691109745226	55.48	4.01602259544663	43.3819444444444	28.4575	0
2	BG001	36	13	17	b	nat	nut def	BG001.17.b	75	15	16.2	4	n	77	6.31	1.275	3.38	17	16.8	4.6	y	NA	11	13	3.5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.56494935746154	1.25276296849537	4.12310562561766	2.82137888640921	1.52605630349505	3.87298334620742	2.78501124223834	1.38629436111989	1.84213567655312	0.242946178610389	1.21787570949493	64.8	4.17130560335823	43.3819444444444	28.4575	0
3	BG001	47	40	22	j	nat	nut def	BG001.22.j	80	22	16.5	3	n	80	6.36	1.177	2.17	20	16.3	3	y	NA	14	10.7	2.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.37024374146786	0.78845736036427	4.47213595499958	2.79116510781272	1.09861228866811	4.69041575982343	2.80336038090653	1.09861228866811	1.85002837735203	0.16296882827814	0.774727167552368	49.5	3.90197266957464	43.3819444444444	28.4575	0
4	BG001	2	31	22	c	nat	nut def	BG001.22.c	78	15	13.9	3.2	n	78	6.52	1.031	2.129	18	14.6	3.5	y	NA	12	10.9	2.4	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.3887627892351	0.8754687373539	4.24264068711928	2.68102152871429	1.25276296849537	3.87298334620742	2.63188884013665	1.16315080980568	1.87487437593856	0.0305292050348228	0.755652385911342	44.48	3.79503964994233	43.3819444444444	28.4575	0
5	BG001	49	21	22	g	nat	nut def	BG001.22.g	75	19	19.1	5	n	77	5.97	1.257	3.597	20	18.6	5	y	NA	13	13.4	3.8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.60555127546399	2.59525470695687	1.33500106673234	4.47213595499958	2.92316158071916	1.6094379124341	4.35889894354067	2.94968833505258	1.6094379124341	1.78674692740451	0.22872792960811	1.28010016471349	95.5	4.55912624748668	43.3819444444444	28.4575	0
6	BG001	13	34	25	i	nat	nut def	BG001.25.i	78	11	13.3	3.2	n	78	6.54	1.114	3.439	16	17.4	5.6	y	NA	10	14.2	3.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.65324196460721	1.28093384546206	4	2.85647020622048	1.7227665977411	3.3166247903554	2.58776403522771	1.16315080980568	1.87793716546911	0.107957141505092	1.23518073145013	42.56	3.75091484503339	43.3819444444444	28.4575	0
7	BG001	27	3	17	g	nat	nut def	BG001.17.g	80	16	12.4	3.3	n	80	5.66	1.138	2.121	18	14.6	3.7	y	NA	14	13.2	2.4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.58021682959233	0.8754687373539	4.24264068711928	2.68102152871429	1.30833281965018	4	2.51769647261099	1.19392246847243	1.73342389221509	0.129272335704139	0.751887675582545	40.92	3.71161894108343	43.3819444444444	28.4575	0
8	BG001	26	28	22	d	nat	nut def	BG001.22.d	80	16	16.9	4	n	80	4.85	1.213	2.72	15	17.5	3.6	y	NA	11	13.2	2.8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.58021682959233	1.02961941718116	3.87298334620742	2.86220088092947	1.28093384546206	4	2.82731362192903	1.38629436111989	1.57897870494939	0.193096629961913	1.00063188030791	67.6	4.21360798304892	43.3819444444444	28.4575	0
9	CA001	2	20	6	k	inv	nut def	CA001.6.k	78	14	20.7	3.7	n	78	6.1	1.304	2.757	11	21.9	5.5	y	NA	11	21.9	5.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	3.08648663682246	1.64865862558738	3.3166247903554	3.08648663682246	1.70474809223843	3.74165738677394	3.03013370027132	1.30833281965018	1.80828877117927	0.265436463504461	1.01414313204166	76.59	4.3384665199215	49.0149388888889	-122.882097222222	0
10	CA001	26	20	3	b	inv	nut def	CA001.3.b	80	12	15.1	5.6	n	80	5.52	1.486	11.894	10	16.3	5.1	n	NA	10	16	5.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.77258872223978	1.68639895357023	3.16227766016838	2.79116510781272	1.62924053973028	3.46410161513775	2.71469474382088	1.7227665977411	1.708377860289	0.396087946295567	2.4760340712844	84.56	4.43746134156198	49.0149388888889	-122.882097222222	0
