"alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "Origin" "PopID"
"BG001" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62 "nat" "BG001"
"CA001" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161 "inv" "CA001"
"CA007" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 "inv" "CA007"
"CA008" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6 "inv" "CA008"
"GR001" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250 "nat" "GR001"
"GR002" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 "nat" "GR002"
"GR003" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231 "nat" "GR003"
"HU001" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20 "nat" "HU001"
"RO001" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28 "nat" "RO001"
"RO002" 2 121 213 26 448 49 30 14 129 95 113 108 71 25 7361 261 -17 278 88 30 "nat" "RO002"
"RO003" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23 "nat" "RO003"
"RO004" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12 "nat" "RO004"
"RO005" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6 "nat" "RO005"
"RU001" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117 "nat" "RU001"
"RU002" 13 71 235 -102 216 24 13 17 68 44 56 54 112 23 13277 320 -162 482 -4 -92 "nat" "RU002"
