Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	sqrt(cont$LfCount1)	log(cont$LfLgth1)	log(cont$LfWdth1)	sqrt(cont$LfCount2)	log(cont$LfLgth2)	log(cont$LfWdth2)	sqrt(cont$LfCountH)	log(cont$LfLgthH)	log(cont$LfWdthH)	log(cont$CrownDiam.mm)	log(cont$ShootMass.g)	log(cont$RootMass.g)
GR003.12.j	12	1	GR003	12	j	nat	cont	GR003.12.j	86	0	NA	NA	y	85	6.73	3.73	0.804	12	24.1	3.4	n	NA	4	7.6	1.1		38	NA	NA	38	1	20.5	NA	69	1	26		80	white		2	2.02814824729229	0.0953101798043249	3.46410161513775	3.18221184049661	1.22377543162212	0	NA	NA	1.90657514365664	1.31640823365572	-0.218156009803171
UA006.22.a	12	2	UA006	22	a	nat	cont	UA006.22.a	86	0	NA	NA	y	85	8.42	5.255	1.483	14	29	6.1	y	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	69	1	37		NA			NA	NA	NA	3.74165738677394	3.36729582998647	1.80828877117927	0	NA	NA	2.13060982825424	1.65918000432891	0.394067063155795
TR001.1.d	12	7	TR001	1	d	nat	cont	TR001.1.d	86	14	27.7	7.3	y	85	9.04	3.634	2.1	16	27.1	5.7	y	NA	11	13.4	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.59525470695687	1.1314021114911	4	3.29953372788566	1.7404661748405	3.74165738677394	3.32143241319329	1.98787434815435	2.20165917440409	1.29033396997398	0.741937344729377
RO004.13.a	12	9	RO004	13	a	nat	cont	RO004.13.a	86	17	22.8	4.1	n	85	8.7	2.852	0.917	17	21.6	4.1	y	NA	13	10.6	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.36085400111802	0.955511445027436	4.12310562561766	3.07269331469012	1.41098697371026	4.12310562561766	3.1267605359604	1.41098697371026	2.16332302566054	1.04802050255205	-0.0866478067256722
UA001.25.c	12	10	UA001	25	c	nat	cont	UA001.25.c	86	3	4	0.4	y	85	7.14	3.458	0.806	19	21.7	4.8	y	NA	14	10.8	4.1		69	NA	NA	NA	NA	NA	NA	69	1	38.5		NA			3.74165738677394	2.37954613413017	1.41098697371026	4.35889894354067	3.07731226054641	1.56861591791385	1.73205080756888	1.38629436111989	-0.916290731874155	1.96571277635149	1.2406903872611	-0.215671536475509
BG001.16.b	12	11	BG001	16	b	nat	cont	BG001.16.b	86	16	21.2	5.3	n	85	7.14	2.944	1.373	15	19.6	4.1	y	NA	13	9	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.19722457733622	1.1314021114911	3.87298334620742	2.97552956623647	1.41098697371026	4	3.05400118167797	1.66770682055808	1.96571277635149	1.07976920086663	0.316998126785834
TR005.18.h	12	13	TR005	18	h	nat	cont	TR005.18.h	86	11	22.7	4.1	n	85	5.94	1.068	8.752	11	29.5	7.7	y	NA	8	8.4	2.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.12823170584927	0.916290731874155	3.3166247903554	3.38439026334577	2.04122032885964	3.3166247903554	3.12236492448736	1.41098697371026	1.78170913337455	0.0657877405380032	2.16928224567963
UA005.18.d	12	14	UA005	18	d	nat	cont	UA005.18.d	86	18	33.8	4.8	n	85	8.42	3.529	1.864	16	31.7	6.9	y	NA	10	13.2	3.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.58021682959233	1.19392246847243	4	3.45631668088323	1.93152141160321	4.24264068711928	3.52046080248897	1.56861591791385	2.13060982825424	1.26101454469313	0.6227247162634
UA003.9A.d	12	16	UA003	9A	d	nat	cont	UA003.9A.d	86	15	28.6	8.7	n	85	6.98	3.817	4.593	13	31	10.2	y	NA	9	13.8	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.62466859216316	1.25276296849537	3.60555127546399	3.43398720448515	2.32238772029023	3.87298334620742	3.35340671782581	2.16332302566054	1.94304891677428	1.33946477376309	1.52453340534366
RO003.21.b	12	17	RO003	21	b	nat	cont	RO003.21.b	86	23	23.6	5.8	n	85	10.3	3.681	6.001	15	22.4	4.6	y	NA	9	14.7	4.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.68784749378469	1.41098697371026	3.87298334620742	3.10906095886099	1.52605630349505	4.79583152331272	3.16124671203156	1.75785791755237	2.33214389523559	1.30318445439688	1.79192612200738
US014.4.d	12	18	US014	4	d	inv	cont	US014.4.d	86	22	23.1	4.4	n	85	5.66	3.748	2.36	9	26	4.1	y	NA	4	8.3	1.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2	2.11625551480255	0.262364264467491	3	3.25809653802148	1.41098697371026	4.69041575982343	3.13983261752775	1.48160454092422	1.73342389221509	1.32122236437618	0.858661619037519
RO001.12.a	12	20	RO001	12	a	nat	cont	RO001.12.a	86	11	25.9	4.9	n	85	7.29	2.7	1.227	13	21.2	5.7	y	NA	8	12.3	4.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.50959926237837	1.41098697371026	3.60555127546399	3.05400118167797	1.7404661748405	3.3166247903554	3.25424296870549	1.58923520511658	1.98650354602057	0.993251773010283	0.204572165728774
US015.15.e	12	23	US015	15	e	inv	cont	US015.15.e	86	14	29.9	5.9	n	85	6.12	2.912	1.38	12	26.4	6.6	n	NA	11	16	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.77258872223978	1.6094379124341	3.46410161513775	3.27336401015227	1.88706964903238	3.74165738677394	3.39785848039664	1.77495235091167	1.81156209652423	1.06884013033444	0.322083499169113
TR004.27.b	12	26	TR004	27	b	nat	cont	TR004.27.b	86	11	22.1	4.2	n	85	4.43	1.344	1.833	15	17	4.6	y	NA	12	11.8	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.46809953147162	1.09861228866811	3.87298334620742	2.83321334405622	1.52605630349505	3.3166247903554	3.09557760852371	1.43508452528932	1.48839958405704	0.295650242100958	0.605953968857568
