Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
TR004.14.e	10	2	TR004	14	e	nat	cut	TR004.14.e	76	11	y	76	3.51	0.267	9	n	NA	6	10.4	2.7	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	4.5	NA			2.44948974278318	2.34180580614733	0.993251773010283	3	3.3166247903554	1.25561603747777	-1.32050662058189
US003.28.c	10	3	US003	28	c	inv	cut	US003.28.c	76	38	n	76	8.92	3.086	31	y	NA	15	11.2	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.87298334620742	2.41591377830105	1.1314021114911	5.56776436283002	6.16441400296898	2.18829594659192	1.12687575394097
US002.5.b	10	5	US002	5	b	inv	cut	US002.5.b	76	24	n	76	7.3	1.824	20	n	NA	12	9.4	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.24070968927596	0.955511445027436	4.47213595499958	4.89897948556636	1.98787434815435	0.60103189165214
BG001.17.j	10	6	BG001	17	j	nat	cut	BG001.17.j	76	27	n	76	6.74	1.31	20	n	NA	11	8.3	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.11625551480255	0.955511445027436	4.47213595499958	5.19615242270663	1.90805992492422	0.27002713721306
GR001.6.b	10	10	GR001	6	b	nat	cut	GR001.6.b	76	26	n	76	5.62	0.944	11	n	NA	7	11.2	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.41591377830105	1.33500106673234	3.3166247903554	5.09901951359278	1.7263316639056	-0.0576291128366364
CA007.4.a	10	11	CA007	4	a	inv	cut	CA007.4.a	76	36	n	76	10.34	1.682	23	n	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	4.79583152331272	6	2.33601986908028	0.519983561550756
RO002.18.f	10	14	RO002	18	f	nat	cut	RO002.18.f	76	2	y	76	4.95	0.549	19	n	NA	9	10.3	2.3	NA	NA	50	NA	NA	NA	50	1	7.5	69	1	41	NA			3	2.33214389523559	0.832909122935104	4.35889894354067	1.4142135623731	1.5993875765806	-0.599656837472606
GR003.12.d	10	17	GR003	12	d	nat	cut	GR003.12.d	76	33	n	76	8.5	1.247	18	n	NA	8	12.7	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.54160199346455	1.02961941718116	4.24264068711928	5.74456264653803	2.14006616349627	0.220740666697899
UA006.14.e	10	19	UA006	14	e	nat	cut	UA006.14.e	76	5	y	76	6.76	0.951	15	n	NA	6	13.4	3.5	NA	NA	50	NA	NA	NA	50	1	26	69	1	32.6	NA			2.44948974278318	2.59525470695687	1.25276296849537	3.87298334620742	2.23606797749979	1.91102289005487	-0.0502412164367468
RO003.21.e	10	20	RO003	21	e	nat	cut	RO003.21.e	76	30	n	76	6.87	2.118	15	y	NA	11	10.7	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.37024374146786	1.1314021114911	3.87298334620742	5.47722557505166	1.92716410623426	0.750472247179215
