Rack	Pos	PopID	Mom	Indiv	Trt	Origin	Wilt	TotWilt	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	ID
CA007.5.a	1	2	CA007	5	a	drought	inv	3	4	NA	11	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.5.a
GR003.10.f	1	5	GR003	10	f	drought	nat	3	6	NA	13	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.10.f
RU003.1.d	1	7	RU003	1	d	drought	nat	2	5	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU003.1.d
RO002.12.f	1	8	RO002	12	f	drought	nat	3	4	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.12.f
UA004.15.i	1	9	UA004	15	i	drought	nat	4	6	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.15.i
US020.27.c	1	10	US020	27	c	drought	inv	4	8	NA	10	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US020.27.c
US021.8.a	1	11	US021	8	a	drought	inv	1	5	NA	6	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US021.8.a
US002.22.f	1	12	US002	22	f	drought	inv	2	4	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.22.f
US013.14.b	1	13	US013	14	b	drought	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US013.14.b
GR001.14.a	1	14	GR001	14	a	drought	nat	8	10	NA	16	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.14.a
US026.23.k	1	15	US026	23	k	drought	inv	7	11	NA	16	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US026.23.k
UA003.6.i	1	16	UA003	6	i	drought	nat	4	6	NA	13	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.6.i
RO003.4.h	1	17	RO003	4	h	drought	nat	3	5	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.4.h
RO005.14.i	1	19	RO005	14	i	drought	nat	4	8	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.14.i
US018.5.l	1	20	US018	5	l	drought	inv	12	14	NA	18	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US018.5.l
UA002.15.i	1	21	UA002	15	i	drought	nat	2	3	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA002.15.i
RU008.21.a	1	22	RU008	21	a	drought	nat	2	4	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.21.a
CA001.4.h	1	25	CA001	4	h	drought	inv	4	6	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.4.h
GR002.13.i	1	26	GR002	13	i	drought	nat	3	5	NA	16	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR002.13.i
US014.4.a	1	27	US014	4	a	drought	inv	5	9	NA	13	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.4.a
TR001.19.b	1	28	TR001	19	b	drought	nat	5	7	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.19.b
UA006.14.k	1	29	UA006	14	k	drought	nat	4	8	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA006.14.k
US003.20.d	1	30	US003	20	d	drought	inv	3	5	NA	8	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.20.d
TR005.20.b	1	31	TR005	20	b	drought	nat	3	5	NA	13	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR005.20.b
TR004.18.i	1	32	TR004	18	i	drought	nat	3	4	NA	16	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR004.18.i
US001.23.a	1	33	US001	23	a	drought	inv	1	3	NA	7	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.23.a
BG001.16.i	1	37	BG001	16	i	drought	nat	3	5	NA	13	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.16.i
RU001.2.e	1	38	RU001	2	e	drought	nat	2	4	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.2.e
HU001.14.a	1	40	HU001	14	a	drought	nat	2	5	NA	11	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.14.a
US023.45.e	1	41	US023	45	e	drought	inv	3	5	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.45.e
CA008.2.e	1	43	CA008	2	e	drought	inv	1	3	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.2.e
