Rack	Pos	PopID	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log
CA007.5.a	1	2	CA007	5	a	inv	drought	3	4	11		CA007.5.a	10	15	4.5	3.16227766016838	2.70805020110221	1.50407739677627
GR003.10.f	1	5	GR003	10	f	nat	drought	3	6	13		GR003.10.f	10	13.8	3.8	3.16227766016838	2.62466859216316	1.33500106673234
RU003.1.d	1	7	RU003	1	d	nat	drought	2	5	12		RU003.1.d	11	17.5	5.6	3.3166247903554	2.86220088092947	1.7227665977411
RO002.12.f	1	8	RO002	12	f	nat	drought	3	4	12		RO002.12.f	9	15	2.7	3	2.70805020110221	0.993251773010283
UA004.15.i	1	9	UA004	15	i	nat	drought	4	6	12		UA004.15.i	11	14.3	3.2	3.3166247903554	2.66025953726586	1.16315080980568
US020.27.c	1	10	US020	27	c	inv	drought	4	8	10		US020.27.c	5	13	1.6	2.23606797749979	2.56494935746154	0.470003629245736
US021.8.a	1	11	US021	8	a	inv	drought	1	5	6		US021.8.a	13	14	4.5	3.60555127546399	2.63905732961526	1.50407739677627
US002.22.f	1	12	US002	22	f	inv	drought	2	4	12		US002.22.f	12	17.8	3.8	3.46410161513775	2.87919845729804	1.33500106673234
US013.14.b	1	13	US013	14	b	inv	drought	NA	NA	NA		US013.14.b	9	13.7	4.6	3	2.61739583283408	1.52605630349505
GR001.14.a	1	14	GR001	14	a	nat	drought	8	10	16		GR001.14.a	8	16.8	4.6	2.82842712474619	2.82137888640921	1.52605630349505
US026.23.k	1	15	US026	23	k	inv	drought	7	11	16		US026.23.k	4	8.4	1.4	2	2.12823170584927	0.336472236621213
UA003.6.i	1	16	UA003	6	i	nat	drought	4	6	13		UA003.6.i	10	13.9	4.2	3.16227766016838	2.63188884013665	1.43508452528932
RO003.4.h	1	17	RO003	4	h	nat	drought	3	5	12		RO003.4.h	10	14	3	3.16227766016838	2.63905732961526	1.09861228866811
RO005.14.i	1	19	RO005	14	i	nat	drought	4	8	12		RO005.14.i	11	13.9	4	3.3166247903554	2.63188884013665	1.38629436111989
US018.5.l	1	20	US018	5	l	inv	drought	12	14	18		US018.5.l	2	4.2	0.7	1.4142135623731	1.43508452528932	-0.356674943938732
UA002.15.i	1	21	UA002	15	i	nat	drought	2	3	12		UA002.15.i	10	15.4	4.7	3.16227766016838	2.73436750941958	1.54756250871601
RU008.21.a	1	22	RU008	21	a	nat	drought	2	4	12		RU008.21.a	12	19.4	3.9	3.46410161513775	2.96527306606928	1.3609765531356
CA001.4.h	1	25	CA001	4	h	inv	drought	4	6	12		CA001.4.h	13	11	3.3	3.60555127546399	2.39789527279837	1.19392246847243
GR002.13.i	1	26	GR002	13	i	nat	drought	3	5	16		GR002.13.i	8	17.8	3.6	2.82842712474619	2.87919845729804	1.28093384546206
US014.4.a	1	27	US014	4	a	inv	drought	5	9	13		US014.4.a	6	14.2	2.1	2.44948974278318	2.65324196460721	0.741937344729377
TR001.19.b	1	28	TR001	19	b	nat	drought	5	7	12		TR001.19.b	8	12.5	2.7	2.82842712474619	2.52572864430826	0.993251773010283
UA006.14.k	1	29	UA006	14	k	nat	drought	4	8	12		UA006.14.k	8	17.3	3.5	2.82842712474619	2.85070650150373	1.25276296849537
US003.20.d	1	30	US003	20	d	inv	drought	3	5	8		US003.20.d	12	13.4	3.7	3.46410161513775	2.59525470695687	1.30833281965018
TR005.20.b	1	31	TR005	20	b	nat	drought	3	5	13		TR005.20.b	9	14.5	4.5	3	2.67414864942653	1.50407739677627
TR004.18.i	1	32	TR004	18	i	nat	drought	3	4	16		TR004.18.i	10	13.8	3.3	3.16227766016838	2.62466859216316	1.19392246847243
US001.23.a	1	33	US001	23	a	inv	drought	1	3	7		US001.23.a	11	16.1	5.2	3.3166247903554	2.77881927199042	1.64865862558738
BG001.16.i	1	37	BG001	16	i	nat	drought	3	5	13		BG001.16.i	12	14.7	3	3.46410161513775	2.68784749378469	1.09861228866811
RU001.2.e	1	38	RU001	2	e	nat	drought	2	4	12		RU001.2.e	13	13.7	3.5	3.60555127546399	2.61739583283408	1.25276296849537
HU001.14.a	1	40	HU001	14	a	nat	drought	2	5	11		HU001.14.a	10	12.6	4.2	3.16227766016838	2.53369681395743	1.43508452528932
US023.45.e	1	41	US023	45	e	inv	drought	3	5	12		US023.45.e	NA	NA	NA	NA	NA	NA
CA008.2.e	1	43	CA008	2	e	inv	drought	1	3	12		CA008.2.e	13	13	4	3.60555127546399	2.56494935746154	1.38629436111989
US011.8.l	1	44	US011	8	l	inv	drought	2	3	12		US011.8.l	10	11.7	4.8	3.16227766016838	2.45958884180371	1.56861591791385
RO001.6.a	1	46	RO001	6	a	nat	drought	1	3	12		RO001.6.a	12	14.6	5.4	3.46410161513775	2.68102152871429	1.68639895357023
RO004.12.g	1	47	RO004	12	g	nat	drought	2	3	11		RO004.12.g	12	15	3.4	3.46410161513775	2.70805020110221	1.22377543162212
US015.15.c	1	48	US015	15	c	inv	drought	3	5	16		US015.15.c	9	15.1	2.5	3	2.71469474382088	0.916290731874155
