Round	defense	TrayID	InvPop	InvMI	InvMom	InvIndiv	InvRem	InvEat	NatPop	NatMI	NatMom	NatIndiv	NatRem	NatEat	MostEat	EatDiffI.N	InvEat.arsq	NatEat.arsq	MostEat.Scan	EatenRatioI.N	Eatenlog	eat.bin
const. 1 1-1	1	const.	1-1	CA001	6a	6	a	0.757	0.243	TR004	14i	14	i	0.414	0.586	nat	-0.343	29.5342796820297	49.9513822410693	inv	0.414675767918089	-0.880258346236464	0
const. 1 1-2	1	const.	1-2	CA001	6a	6	a	0.715	0.285	UA004	27g	27	g	0.854	0.146	inv	0.139	32.2657809445879	22.4634834073594	nat	1.95205479452055	0.668882558560314	1
const. 1 1-3	1	const.	1-3	CA001	6a	6	a	0.499	0.501	RO005	15i	15	i	0.722	0.278	nat	0.223	45.0566828100535	31.8198786871064	nat	1.80215827338129	0.588984987394228	1
const. 1 1-4	1	const.	1-4	CA008	4b	4	b	0.733	0.267	GR003	10d	10	d	0.779	0.221	inv	0.046	31.1120969385188	28.0408200210461	nat	1.20814479638009	0.189085956882497	1
const. 1 1-5	1	const.	1-5	CA008	4b	4	b	0.626	0.374	TR001	12c	12	c	0.736	0.264	inv	0.11	37.7015403108314	30.9174796750093	nat	1.41666666666667	0.348306694268216	1
const. 1 1-6	1	const.	1-6	CA008	4b	4	b	0.639	0.361	BG001	25f	25	f	0.739	0.261	inv	0.1	36.929060241461	30.7221519493845	nat	1.38314176245211	0.324357551010187	1
const. 1 1-7	1	const.	1-7	US001	22h	22	h	0.794	0.206	RU003	3d	3	d	0.732	0.268	nat	-0.062	26.9920276580242	31.1768143575739	inv	0.76865671641791	-0.263110811721276	0
const. 1 1-8	1	const.	1-8	US001	22h	22	h	0.794	0.206	RO001	13i	13	i	0.635	0.365	nat	-0.159	26.9920276580242	37.1673609028924	inv	0.564383561643836	-0.57202118479291	0
const. 1 1-9	1	const.	1-9	US001	22h	22	h	0.718	0.282	TR001	12c	12	c	0.679	0.321	nat	-0.039	32.0750923531981	34.510820533624	inv	0.878504672897196	-0.129534052191902	0
const. 1 1-10	1	const.	1-10	US002	22a	22	a	0.983	0.017	TR001	12c	12	c	0.628	0.372	nat	-0.355	7.49168361681993	37.5830647124177	inv	0.0456989247311828	-3.08568051021693	0
const. 1 1-11	1	const.	1-11	US002	22a	22	a	0.787	0.213	GR003	10d	10	d	0.709	0.291		-0.078	27.484810250117	32.645364163032	inv	0.731958762886598	-0.312031101462067	0
const. 1 1-12	1	const.	1-12	US002	22a	22	a	0.984	0.016	UA005	15e	15	e	0.636	0.364	nat	-0.348	7.2667745842216	37.107838523867	inv	0.043956043956044	-3.12456514539696	0
const. 1 1-13	1	const.	1-13	US003	20g	20	g	0.941	0.059	RU008	19b	19	b	0.477	0.523	nat	-0.464	14.0575230449886	46.3176379537826	inv	0.112810707456979	-2.1820440201592	0
const. 1 1-14	1	const.	1-14	US003	20g	20	g	0.935	0.065	HU001	14d	14	d	0.747	0.253	nat	-0.188	14.7704792939349	30.1976737521131	inv	0.256916996047431	-1.35900221883188	0
const. 1 1-15	1	const.	1-15	US003	20g	20	g	0.815	0.185	RO004	13h	13	h	0.879	0.121	inv	0.064	25.4745921436024	20.3556239878104	nat	1.52892561983471	0.424565279481584	1
const. 1 1-16	1	const.	1-16	US012	28e	28	e	0.939	0.061	RO002	12g	12	g	0.791	0.209	nat	-0.148	14.29878657215	27.2039622426832	inv	0.291866028708134	-1.2314603877915	0
const. 1 1-17	1	const.	1-17	US012	28e	28	e	0.376	0.624	RO005	15i	15	i	0.564	0.436	nat	0.188	52.1788870887871	41.3224201927387	nat	1.43119266055046	0.358508125020393	1
const. 1 1-18	1	const.	1-18	US012	28e	28	e	0.485	0.515	UA003	7Ae	7A	e	0.818	0.182	inv	0.333	45.8589417378449	25.2525603734971	nat	2.82967032967033	1.04016021358694	1
const. 1 1-19	1	const.	1-19	US014	16f	16	f	0.672	0.328	RO002	12g	12	g	0.773	0.227	nat	0.101	34.9391426417326	28.4530995622891	nat	1.44493392070485	0.368063590902741	1
const. 1 1-20	1	const.	1-20	US014	16f	16	f	0.465	0.535	RU008	19b	19	b	0.802	0.198	inv	0.337	47.0063540755967	26.4211820736007	nat	2.7020202020202	0.993999716201471	1
const. 1 1-21	1	const.	1-21	US014	16f	16	f	0.593	0.407	UA005	15e	15	e	0.57	0.43	nat	-0.023	39.6397406142415	40.9755193939562	inv	0.946511627906977	-0.0549720232450131	0
const. 1 1-22	1	const.	1-22	US026		NA		0.58	0.42	RU002	1f	1	f	0.69	0.31	nat	0.11	40.3960022914169	33.8326983686104	nat	1.35483870967742	0.303682413798222	1
const. 1 1-23	1	const.	1-23	US026		NA		0.571	0.429	TR005	9b	9	b	0.656	0.344		0.085	40.9176462070979	35.9096108459143	nat	1.24709302325581	0.220815261554619	1
const. 1 1-24	1	const.	1-24	US026		NA		0.417	0.583	UA004	27g	27	g	0.879	0.121	nat	0.462	49.7769884813051	20.3556239878104	nat	4.81818181818182	1.57239664075375	1
const. 1 1-25	1	const.	1-25	US020	24e	24	e	0.963	0.037	RO004	13h	13	h	0.898	0.102	inv	-0.065	11.0900327357528	18.62484138181	inv	0.362745098039216	-1.01405490064005	0
const. 1 1-26	1	const.	1-26	US020	24e	24	e	1	0	TR004	14i	14	i	0.82	0.18	inv	-0.18	0	25.10374870732	inv	0	-Inf	0
const. 1 1-27	1	const.	1-27	US020	24e	24	e	0.765	0.235	GR002	8a	8	a	0.985	0.015	inv	0.22	28.9968780761989	7.03483816301933	nat	15.6666666666667	2.75153531304195	1
const. 1 1-28	1	const.	1-28	US015	17a	17	a	0.591	0.409	RU008	19b	19	b	0.811	0.189	inv	0.22	39.7563211696497	25.7684831050403	nat	2.16402116402116	0.771968140983159	1
