Round	defense	TrayID	InvPop	InvMI	InvMom	InvIndiv	InvRem	InvEat	NatPop	NatMI	NatMom	NatIndiv	NatRem	NatEat	MostEat	EatDiffI.N	InvEat.arsq	NatEat.arsq
1	1	const.	1-1	CA001	6a	6	a	0.757	0.243	TR004	14i	14	i	0.414	0.586	nat	-0.343	29.5342796820297	49.9513822410693
2	1	const.	1-2	CA001	6a	6	a	0.715	0.285	UA004	27g	27	g	0.854	0.146	inv	0.139	32.2657809445879	22.4634834073594
3	1	const.	1-3	CA001	6a	6	a	0.499	0.501	RO005	15i	15	i	0.722	0.278	nat	0.223	45.0566828100535	31.8198786871064
4	1	const.	1-4	CA008	4b	4	b	0.733	0.267	GR003	10d	10	d	0.779	0.221	inv	0.046	31.1120969385188	28.0408200210461
5	1	const.	1-5	CA008	4b	4	b	0.626	0.374	TR001	12c	12	c	0.736	0.264	inv	0.11	37.7015403108314	30.9174796750093
6	1	const.	1-6	CA008	4b	4	b	0.639	0.361	BG001	25f	25	f	0.739	0.261	inv	0.1	36.929060241461	30.7221519493845
7	1	const.	1-7	US001	22h	22	h	0.794	0.206	RU003	3d	3	d	0.732	0.268	nat	-0.062	26.9920276580242	31.1768143575739
8	1	const.	1-8	US001	22h	22	h	0.794	0.206	RO001	13i	13	i	0.635	0.365	nat	-0.159	26.9920276580242	37.1673609028924
9	1	const.	1-9	US001	22h	22	h	0.718	0.282	TR001	12c	12	c	0.679	0.321	nat	-0.039	32.0750923531981	34.510820533624
10	1	const.	1-10	US002	22a	22	a	0.983	0.017	TR001	12c	12	c	0.628	0.372	nat	-0.355	7.49168361681993	37.5830647124177
11	1	const.	1-11	US002	22a	22	a	0.787	0.213	GR003	10d	10	d	0.709	0.291		-0.078	27.484810250117	32.645364163032
12	1	const.	1-12	US002	22a	22	a	0.984	0.016	UA005	15e	15	e	0.636	0.364	nat	-0.348	7.2667745842216	37.107838523867
13	1	const.	1-13	US003	20g	20	g	0.941	0.059	RU008	19b	19	b	0.477	0.523	nat	-0.464	14.0575230449886	46.3176379537826
14	1	const.	1-14	US003	20g	20	g	0.935	0.065	HU001	14d	14	d	0.747	0.253	nat	-0.188	14.7704792939349	30.1976737521131
15	1	const.	1-15	US003	20g	20	g	0.815	0.185	RO004	13h	13	h	0.879	0.121	inv	0.064	25.4745921436024	20.3556239878104
16	1	const.	1-16	US012	28e	28	e	0.939	0.061	RO002	12g	12	g	0.791	0.209	nat	-0.148	14.29878657215	27.2039622426832
17	1	const.	1-17	US012	28e	28	e	0.376	0.624	RO005	15i	15	i	0.564	0.436	nat	0.188	52.1788870887871	41.3224201927387
18	1	const.	1-18	US012	28e	28	e	0.485	0.515	UA003	7Ae	7A	e	0.818	0.182	inv	0.333	45.8589417378449	25.2525603734971
19	1	const.	1-19	US014	16f	16	f	0.672	0.328	RO002	12g	12	g	0.773	0.227	nat	0.101	34.9391426417326	28.4530995622891
20	1	const.	1-20	US014	16f	16	f	0.465	0.535	RU008	19b	19	b	0.802	0.198	inv	0.337	47.0063540755967	26.4211820736007
21	1	const.	1-21	US014	16f	16	f	0.593	0.407	UA005	15e	15	e	0.57	0.43	nat	-0.023	39.6397406142415	40.9755193939562
22	1	const.	1-22	US026		NA		0.58	0.42	RU002	1f	1	f	0.69	0.31	nat	0.11	40.3960022914169	33.8326983686104
23	1	const.	1-23	US026		NA		0.571	0.429	TR005	9b	9	b	0.656	0.344		0.085	40.9176462070979	35.9096108459143
24	1	const.	1-24	US026		NA		0.417	0.583	UA004	27g	27	g	0.879	0.121	nat	0.462	49.7769884813051	20.3556239878104
25	1	const.	1-25	US020	24e	24	e	0.963	0.037	RO004	13h	13	h	0.898	0.102	inv	-0.065	11.0900327357528	18.62484138181
26	1	const.	1-26	US020	24e	24	e	1	0	TR004	14i	14	i	0.82	0.18	inv	-0.18	0	25.10374870732
27	1	const.	1-27	US020	24e	24	e	0.765	0.235	GR002	8a	8	a	0.985	0.015	inv	0.22	28.9968780761989	7.03483816301933
28	1	const.	1-28	US015	17a	17	a	0.591	0.409	RU008	19b	19	b	0.811	0.189	inv	0.22	39.7563211696497	25.7684831050403
29	1	const.	1-29	US015	17a	17	a	0.898	0.102	RO003	9d	9	d	0.836	0.164		-0.062	18.62484138181	23.8888679582878
30	1	const.	1-30	US015	17a	17	a	0.831	0.169	RU002	lf	l	f	0.497	0.503	nat	-0.334	24.2733781980628	45.1712738031835
31	1	const.	1-31	US018	11a	11	a	0.548	0.452	TR005	9b	9	b	0.842	0.158	inv	0.294	42.2449859105948	23.4211746092813
32	1	const.	1-32	US018	11a	11	a	0.696	0.304	RO004	13h	13	h	0.73	0.27		0.034	33.4600434619235	31.3060203222851
33	1	const.	2-1	US018	11a	11	a	1	0	TR004	14i	14	i	0.699	0.301	nat	-0.301	0	33.2729432035122
34	1	const.	2-2	US022	42c	42	c	0.972	0.028	GR002	8a	8	a	0.977	0.023		0.005	9.63260122870171	8.72287517594834
35	1	const.	2-3	US022	42c	42	c	0.757	0.243	RO005	15i	15	i	0.842	0.158		0.085	29.5342796820297	23.4211746092813
36	1	const.	2-4	US022	42c	42	c	0.937	0.063	HU001	14d	14	d	0.913	0.087		-0.024	14.5363792339354	17.154762949028
37	1	const.	2-5	CA007	4a	4	a	0.842	0.158	RO001	13d	13	d	1	0	inv	0.158	23.4211746092813	0
38	1	const.	2-6	CA007	4a	4	a	1	0	BG001	17j	17	j	0.972	0.028	nat	-0.028	0	9.63260122870171
39	1	const.	2-7	CA007	4a	4	a	0.959	0.041	GR002	13c	13	c	1	0	inv	0.041	11.6821285613877	0
40	1	const.	2-8	US011	8g	8	g	1	0	HU001	14h	14	h	1	0	nat	0	0	0
41	1	const.	2-9	US011	8g	8	g	1	0	RO004	13b	13	b	1	0	inv	0	0	0
42	1	const.	2-10	US011	8g	8	g	1	0	TR004	18g	18	g	1	0		0	0	0
43	1	const.	2-11	US021	8d	8	d	1	0	TR001	24f	24	f	1	0		0	0	0
44	1	const.	2-12	US021	8d	8	d	1	0	RO005	15c	15	c	1	0		0	0	0
45	1	const.	2-13	US021	8d	8	d	0.942	0.058	GR003	10b	10	b	1	0	inv	0.058	13.9354548705177	0
46	1	const.	2-14	US023	34a	34	a	0.764	0.236	RO002	12o	12	o	0.861	0.139	inv	0.097	29.0643934606774	21.8897762026108
47	1	const.	2-15	US023	34a	34	a	1	0	UA004	18b	18	b	1	0		0	0	0
