Rack	Pos	PopID	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq
CA007.5.a	1	2	CA007	5	a	inv	10	15	4.5	CA007.5.a	2.70805020110221	1.50407739677627	3.16227766016838
GR003.10.f	1	5	GR003	10	f	nat	10	13.8	3.8	GR003.10.f	2.62466859216316	1.33500106673234	3.16227766016838
RU003.1.d	1	7	RU003	1	d	nat	11	17.5	5.6	RU003.1.d	2.86220088092947	1.7227665977411	3.3166247903554
RO002.12.f	1	8	RO002	12	f	nat	9	15	2.7	RO002.12.f	2.70805020110221	0.993251773010283	3
UA004.15.i	1	9	UA004	15	i	nat	11	14.3	3.2	UA004.15.i	2.66025953726586	1.16315080980568	3.3166247903554
US020.27.c	1	10	US020	27	c	inv	5	13	1.6	US020.27.c	2.56494935746154	0.470003629245736	2.23606797749979
US021.8.a	1	11	US021	8	a	inv	13	14	4.5	US021.8.a	2.63905732961526	1.50407739677627	3.60555127546399
US002.22.f	1	12	US002	22	f	inv	12	17.8	3.8	US002.22.f	2.87919845729804	1.33500106673234	3.46410161513775
US013.14.b	1	13	US013	14	b	inv	9	13.7	4.6	US013.14.b	2.61739583283408	1.52605630349505	3
GR001.14.a	1	14	GR001	14	a	nat	8	16.8	4.6	GR001.14.a	2.82137888640921	1.52605630349505	2.82842712474619
US026.23.k	1	15	US026	23	k	inv	4	8.4	1.4	US026.23.k	2.12823170584927	0.336472236621213	2
UA003.6.i	1	16	UA003	6	i	nat	10	13.9	4.2	UA003.6.i	2.63188884013665	1.43508452528932	3.16227766016838
RO003.4.h	1	17	RO003	4	h	nat	10	14	3	RO003.4.h	2.63905732961526	1.09861228866811	3.16227766016838
RO005.14.i	1	19	RO005	14	i	nat	11	13.9	4	RO005.14.i	2.63188884013665	1.38629436111989	3.3166247903554
US018.5.l	1	20	US018	5	l	inv	2	4.2	0.7	US018.5.l	1.43508452528932	-0.356674943938732	1.4142135623731
UA002.15.i	1	21	UA002	15	i	nat	10	15.4	4.7	UA002.15.i	2.73436750941958	1.54756250871601	3.16227766016838
RU008.21.a	1	22	RU008	21	a	nat	12	19.4	3.9	RU008.21.a	2.96527306606928	1.3609765531356	3.46410161513775
CA001.4.h	1	25	CA001	4	h	inv	13	11	3.3	CA001.4.h	2.39789527279837	1.19392246847243	3.60555127546399
GR002.13.i	1	26	GR002	13	i	nat	8	17.8	3.6	GR002.13.i	2.87919845729804	1.28093384546206	2.82842712474619
US014.4.a	1	27	US014	4	a	inv	6	14.2	2.1	US014.4.a	2.65324196460721	0.741937344729377	2.44948974278318
TR001.19.b	1	28	TR001	19	b	nat	8	12.5	2.7	TR001.19.b	2.52572864430826	0.993251773010283	2.82842712474619
UA006.14.k	1	29	UA006	14	k	nat	8	17.3	3.5	UA006.14.k	2.85070650150373	1.25276296849537	2.82842712474619
US003.20.d	1	30	US003	20	d	inv	12	13.4	3.7	US003.20.d	2.59525470695687	1.30833281965018	3.46410161513775
