PopID	Rack	Pos	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq	Latitude	Longitude
1	BG001	8	37	29	j	nat	11	17.8	3.7	BG001.29.j	2.87919845729804	1.30833281965018	3.3166247903554	43.3819444444444	28.4575
2	BG001	37	36	22	e	nat	13	12	1	BG001.22.e	2.484906649788	0	3.60555127546399	43.3819444444444	28.4575
3	BG001	44	4	22	b	nat	14	10.4	3.7	BG001.22.b	2.34180580614733	1.30833281965018	3.74165738677394	43.3819444444444	28.4575
4	BG001	49	21	22	g	nat	13	13.4	3.8	BG001.22.g	2.59525470695687	1.33500106673234	3.60555127546399	43.3819444444444	28.4575
5	BG001	12	11	16	b	nat	13	9	3.1	BG001.16.b	2.19722457733622	1.1314021114911	3.60555127546399	43.3819444444444	28.4575
6	BG001	43	33	29	a	nat	12	12.9	3.1	BG001.29.a	2.55722731136763	1.1314021114911	3.46410161513775	43.3819444444444	28.4575
7	BG001	21	31	17	a	nat	11	12.9	3.1	BG001.17.a	2.55722731136763	1.1314021114911	3.3166247903554	43.3819444444444	28.4575
8	BG001	22	50	25	j	nat	13	12.1	3.2	BG001.25.j	2.4932054526027	1.16315080980568	3.60555127546399	43.3819444444444	28.4575
9	BG001	41	6	16	a	nat	14	14.4	3.7	BG001.16.a	2.66722820658195	1.30833281965018	3.74165738677394	43.3819444444444	28.4575
10	BG001	26	28	22	d	nat	11	13.2	2.8	BG001.22.d	2.58021682959233	1.02961941718116	3.3166247903554	43.3819444444444	28.4575
11	BG001	1	37	16	i	nat	12	14.7	3	BG001.16.i	2.68784749378469	1.09861228866811	3.46410161513775	43.3819444444444	28.4575
12	BG001	36	13	17	b	nat	11	13	3.5	BG001.17.b	2.56494935746154	1.25276296849537	3.3166247903554	43.3819444444444	28.4575
13	BG001	45	35	29	c	nat	10	15.1	3.1	BG001.29.c	2.71469474382088	1.1314021114911	3.16227766016838	43.3819444444444	28.4575
14	BG001	24	43	16	j	nat	11	14.1	3.9	BG001.16.j	2.64617479738412	1.3609765531356	3.3166247903554	43.3819444444444	28.4575
15	BG001	7	29	22	h	nat	13	12.5	2.6	BG001.22.h	2.52572864430826	0.955511445027436	3.60555127546399	43.3819444444444	28.4575
16	BG001	19	40	25	d	nat	12	12.1	3.2	BG001.25.d	2.4932054526027	1.16315080980568	3.46410161513775	43.3819444444444	28.4575
17	BG001	34	39	17	e	nat	10	13	4.5	BG001.17.e	2.56494935746154	1.50407739677627	3.16227766016838	43.3819444444444	28.4575
18	BG001	30	25	22	f	nat	17	13.2	2.8	BG001.22.f	2.58021682959233	1.02961941718116	4.12310562561766	43.3819444444444	28.4575
19	BG001	47	40	22	j	nat	14	10.7	2.2	BG001.22.j	2.37024374146786	0.78845736036427	3.74165738677394	43.3819444444444	28.4575
20	BG001	14	26	16	d	nat	10	15.7	4	BG001.16.d	2.75366071235426	1.38629436111989	3.16227766016838	43.3819444444444	28.4575
21	BG001	15	5	16	c	nat	16	10.2	2.7	BG001.16.c	2.32238772029023	0.993251773010283	4	43.3819444444444	28.4575
22	BG001	10	6	17	j	nat	11	8.3	2.6	BG001.17.j	2.11625551480255	0.955511445027436	3.3166247903554	43.3819444444444	28.4575
23	BG001	46	43	17	h	nat	12	12	1.8	BG001.17.h	2.484906649788	0.587786664902119	3.46410161513775	43.3819444444444	28.4575
24	BG001	13	34	25	i	nat	10	14.2	3.6	BG001.25.i	2.65324196460721	1.28093384546206	3.16227766016838	43.3819444444444	28.4575
25	BG001	16	8	25	h	nat	13	11.2	2.9	BG001.25.h	2.41591377830105	1.06471073699243	3.60555127546399	43.3819444444444	28.4575
26	BG001	11	48	25	e	nat	11	12.5	2.6	BG001.25.e	2.52572864430826	0.955511445027436	3.3166247903554	43.3819444444444	28.4575
27	BG001	28	49	22	a	nat	12	9.1	2.9	BG001.22.a	2.2082744135228	1.06471073699243	3.46410161513775	43.3819444444444	28.4575
28	BG001	42	21	29	b	nat	9	13.6	3.1	BG001.29.b	2.61006979274201	1.1314021114911	3	43.3819444444444	28.4575
29	BG001	48	36	29	i	nat	13	13.9	2.9	BG001.29.i	2.63188884013665	1.06471073699243	3.60555127546399	43.3819444444444	28.4575
30	BG001	18	23	17	d	nat	12	9.5	2.4	BG001.17.d	2.2512917986065	0.8754687373539	3.46410161513775	43.3819444444444	28.4575
31	BG001	31	5	25	c	nat	12	15.9	2.1	BG001.25.c	2.76631910922619	0.741937344729377	3.46410161513775	43.3819444444444	28.4575
32	BG001	27	3	17	g	nat	14	13.2	2.4	BG001.17.g	2.58021682959233	0.8754687373539	3.74165738677394	43.3819444444444	28.4575
33	BG001	5	40	16	f	nat	10	13.2	2.7	BG001.16.f	2.58021682959233	0.993251773010283	3.16227766016838	43.3819444444444	28.4575
34	BG001	9	35	29	d	nat	12	12.9	3.5	BG001.29.d	2.55722731136763	1.25276296849537	3.46410161513775	43.3819444444444	28.4575
35	BG001	38	17	29	g	nat	13	15	4	BG001.29.g	2.70805020110221	1.38629436111989	3.60555127546399	43.3819444444444	28.4575
36	BG001	20	38	17	c	nat	11	13	3.3	BG001.17.c	2.56494935746154	1.19392246847243	3.3166247903554	43.3819444444444	28.4575
37	BG001	17	48	16	h	nat	14	13.2	4.1	BG001.16.h	2.58021682959233	1.41098697371026	3.74165738677394	43.3819444444444	28.4575
38	BG001	6	36	25	a	nat	12	13.6	3.7	BG001.25.a	2.61006979274201	1.30833281965018	3.46410161513775	43.3819444444444	28.4575
39	BG001	3	16	29	h	nat	13	14.4	4.4	BG001.29.h	2.66722820658195	1.48160454092422	3.60555127546399	43.3819444444444	28.4575
40	BG001	50	36	29	f	nat	12	15.5	4.2	BG001.29.f	2.7408400239252	1.43508452528932	3.46410161513775	43.3819444444444	28.4575
41	BG001	39	38	17	i	nat	10	14	3	BG001.17.i	2.63905732961526	1.09861228866811	3.16227766016838	43.3819444444444	28.4575
42	BG001	33	12	25	f	nat	12	15.2	3.5	BG001.25.f	2.72129542785223	1.25276296849537	3.46410161513775	43.3819444444444	28.4575
43	BG001	4	19	22	i	nat	13	10.3	2.4	BG001.22.i	2.33214389523559	0.8754687373539	3.60555127546399	43.3819444444444	28.4575
44	BG001	32	16	25	g	nat	13	13.9	4.1	BG001.25.g	2.63188884013665	1.41098697371026	3.60555127546399	43.3819444444444	28.4575
45	BG001	29	31	17	f	nat	13	13.9	2.4	BG001.17.f	2.63188884013665	0.8754687373539	3.60555127546399	43.3819444444444	28.4575
46	BG001	2	31	22	c	nat	12	10.9	2.4	BG001.22.c	2.3887627892351	0.8754687373539	3.46410161513775	43.3819444444444	28.4575
47	BG001	40	10	25	b	nat	11	14	5.5	BG001.25.b	2.63905732961526	1.70474809223843	3.3166247903554	43.3819444444444	28.4575
48	BG001	35	28	16	g	nat	11	17	4.5	BG001.16.g	2.83321334405622	1.50407739677627	3.3166247903554	43.3819444444444	28.4575
49	BG001	23	26	16	e	nat	14	11.5	3.1	BG001.16.e	2.4423470353692	1.1314021114911	3.74165738677394	43.3819444444444	28.4575
50	BG001	25	47	29	e	nat	11	10.4	2.5	BG001.29.e	2.34180580614733	0.916290731874155	3.3166247903554	43.3819444444444	28.4575
51	CA001	34	42	6	e	inv	11	18	5	CA001.6.e	2.89037175789616	1.6094379124341	3.3166247903554	49.0149388888889	-122.882097222222
52	CA001	18	10	2	b	inv	12	13.9	4.2	CA001.2.b	2.63188884013665	1.43508452528932	3.46410161513775	49.0149388888889	-122.882097222222
53	CA001	17	17	7	j	inv	10	17.4	4.7	CA001.7.j	2.85647020622048	1.54756250871601	3.16227766016838	49.0149388888889	-122.882097222222
54	CA001	7	6	2	a	inv	12	19.1	4.1	CA001.2.a	2.94968833505258	1.41098697371026	3.46410161513775	49.0149388888889	-122.882097222222
55	CA001	42	20	4	e	inv	14	12	2.9	CA001.4.e	2.484906649788	1.06471073699243	3.74165738677394	49.0149388888889	-122.882097222222
56	CA001	25	26	7	d	inv	12	14.2	4.2	CA001.7.d	2.65324196460721	1.43508452528932	3.46410161513775	49.0149388888889	-122.882097222222
57	CA001	27	16	7	e	inv	11	13.9	4	CA001.7.e	2.63188884013665	1.38629436111989	3.3166247903554	49.0149388888889	-122.882097222222
58	CA001	16	18	3	j	inv	13	17.3	3.7	CA001.3.j	2.85070650150373	1.30833281965018	3.60555127546399	49.0149388888889	-122.882097222222
59	CA001	31	25	3	i	inv	12	17.6	4.5	CA001.3.i	2.86789890204411	1.50407739677627	3.46410161513775	49.0149388888889	-122.882097222222
60	CA001	24	13	6	i	inv	13	14	4	CA001.6.i	2.63905732961526	1.38629436111989	3.60555127546399	49.0149388888889	-122.882097222222
61	CA001	11	6	2	c	inv	11	12.1	3.5	CA001.2.c	2.4932054526027	1.25276296849537	3.3166247903554	49.0149388888889	-122.882097222222
62	CA001	36	11	3	a	inv	14	15.5	5	CA001.3.a	2.7408400239252	1.6094379124341	3.74165738677394	49.0149388888889	-122.882097222222
63	CA001	37	35	2	g	inv	9	15.5	4	CA001.2.g	2.7408400239252	1.38629436111989	3	49.0149388888889	-122.882097222222
64	CA001	30	45	4	g	inv	10	13.8	3.3	CA001.4.g	2.62466859216316	1.19392246847243	3.16227766016838	49.0149388888889	-122.882097222222
65	CA001	22	17	6	d	inv	10	15.5	5.7	CA001.6.d	2.7408400239252	1.7404661748405	3.16227766016838	49.0149388888889	-122.882097222222
66	CA001	49	28	2	f	inv	12	19.8	4.1	CA001.2.f	2.98568193770049	1.41098697371026	3.46410161513775	49.0149388888889	-122.882097222222
67	CA001	44	9	2	i	inv	10	17	4.3	CA001.2.i	2.83321334405622	1.45861502269952	3.16227766016838	49.0149388888889	-122.882097222222
68	CA001	50	9	6	j	inv	12	15.2	4.2	CA001.6.j	2.72129542785223	1.43508452528932	3.46410161513775	49.0149388888889	-122.882097222222
69	CA001	40	29	7	h	inv	14	16.8	5.6	CA001.7.h	2.82137888640921	1.7227665977411	3.74165738677394	49.0149388888889	-122.882097222222
70	CA001	28	6	7	g	inv	12	15.9	4.8	CA001.7.g	2.76631910922619	1.56861591791385	3.46410161513775	49.0149388888889	-122.882097222222
71	CA001	10	41	2	j	inv	12	11.3	3.4	CA001.2.j	2.42480272571829	1.22377543162212	3.46410161513775	49.0149388888889	-122.882097222222
72	CA001	4	24	2	e	inv	11	15.9	3.8	CA001.2.e	2.76631910922619	1.33500106673234	3.3166247903554	49.0149388888889	-122.882097222222
73	CA001	8	27	6	f	inv	11	13.6	4.2	CA001.6.f	2.61006979274201	1.43508452528932	3.3166247903554	49.0149388888889	-122.882097222222
74	CA001	29	19	4	a	inv	12	15.4	4.3	CA001.4.a	2.73436750941958	1.45861502269952	3.46410161513775	49.0149388888889	-122.882097222222
75	CA001	35	29	3	h	inv	10	19	5.6	CA001.3.h	2.94443897916644	1.7227665977411	3.16227766016838	49.0149388888889	-122.882097222222
76	CA001	46	27	7	f	inv	9	14.7	4.2	CA001.7.f	2.68784749378469	1.43508452528932	3	49.0149388888889	-122.882097222222
77	CA001	15	46	2	h	inv	11	10.4	2.8	CA001.2.h	2.34180580614733	1.02961941718116	3.3166247903554	49.0149388888889	-122.882097222222
78	CA001	3	4	2	d	inv	11	14.1	3.7	CA001.2.d	2.64617479738412	1.30833281965018	3.3166247903554	49.0149388888889	-122.882097222222
79	CA001	12	32	7	i	inv	13	14.7	3.4	CA001.7.i	2.68784749378469	1.22377543162212	3.60555127546399	49.0149388888889	-122.882097222222
80	CA001	39	21	6	b	inv	8	17	4.5	CA001.6.b	2.83321334405622	1.50407739677627	2.82842712474619	49.0149388888889	-122.882097222222
81	CA001	21	46	3	c	inv	8	13.3	4.2	CA001.3.c	2.58776403522771	1.43508452528932	2.82842712474619	49.0149388888889	-122.882097222222
82	CA001	26	20	3	b	inv	10	16	5.4	CA001.3.b	2.77258872223978	1.68639895357023	3.16227766016838	49.0149388888889	-122.882097222222
83	CA001	6	12	6	c	inv	13	16.9	5	CA001.6.c	2.82731362192903	1.6094379124341	3.60555127546399	49.0149388888889	-122.882097222222
84	CA001	23	45	4	b	inv	9	12	3.5	CA001.4.b	2.484906649788	1.25276296849537	3	49.0149388888889	-122.882097222222
85	CA001	19	19	3	d	inv	13	15.1	3.9	CA001.3.d	2.71469474382088	1.3609765531356	3.60555127546399	49.0149388888889	-122.882097222222
86	CA001	5	6	3	g	inv	11	11.9	3.4	CA001.3.g	2.47653840011748	1.22377543162212	3.3166247903554	49.0149388888889	-122.882097222222
87	CA001	43	27	4	i	inv	10	13.1	3.1	CA001.4.i	2.57261223020711	1.1314021114911	3.16227766016838	49.0149388888889	-122.882097222222
88	CA001	33	11	6	a	inv	10	17.6	4.6	CA001.6.a	2.86789890204411	1.52605630349505	3.16227766016838	49.0149388888889	-122.882097222222
89	CA001	1	25	4	h	inv	13	11	3.3	CA001.4.h	2.39789527279837	1.19392246847243	3.60555127546399	49.0149388888889	-122.882097222222
90	CA001	9	28	4	f	inv	14	10.9	2.8	CA001.4.f	2.3887627892351	1.02961941718116	3.74165738677394	49.0149388888889	-122.882097222222
91	CA001	20	20	7	b	inv	10	20.8	5.3	CA001.7.b	3.03495298670727	1.66770682055808	3.16227766016838	49.0149388888889	-122.882097222222
92	CA001	13	5	4	c	inv	12	11.9	2.1	CA001.4.c	2.47653840011748	0.741937344729377	3.46410161513775	49.0149388888889	-122.882097222222
93	CA001	48	28	3	e	inv	11	15.4	4.6	CA001.3.e	2.73436750941958	1.52605630349505	3.3166247903554	49.0149388888889	-122.882097222222
94	CA001	47	14	3	f	inv	10	17.1	4.8	CA001.3.f	2.83907846350861	1.56861591791385	3.16227766016838	49.0149388888889	-122.882097222222
95	CA001	2	20	6	k	inv	11	21.9	5.2	CA001.6.k	3.08648663682246	1.64865862558738	3.3166247903554	49.0149388888889	-122.882097222222
96	CA001	41	2	6	h	inv	10	12.2	4.3	CA001.6.h	2.50143595173921	1.45861502269952	3.16227766016838	49.0149388888889	-122.882097222222
97	CA001	14	6	7	c	inv	12	14.5	4.5	CA001.7.c	2.67414864942653	1.50407739677627	3.46410161513775	49.0149388888889	-122.882097222222
98	CA001	45	50	7	a	inv	14	12.7	3.3	CA001.7.a	2.54160199346455	1.19392246847243	3.74165738677394	49.0149388888889	-122.882097222222
99	CA001	38	4	4	j	inv	10	13.5	4	CA001.4.j	2.60268968544438	1.38629436111989	3.16227766016838	49.0149388888889	-122.882097222222
100	CA001	32	2	4	d	inv	14	15.5	3.7	CA001.4.d	2.7408400239252	1.30833281965018	3.74165738677394	49.0149388888889	-122.882097222222
101	CA007	1	2	5	a	inv	10	15	4.5	CA007.5.a	2.70805020110221	1.50407739677627	3.16227766016838	49.2961027777778	-118.473830555556
102	CA007	2	25	3	c	inv	9	14.5	4.6	CA007.3.c	2.67414864942653	1.52605630349505	3	49.2961027777778	-118.473830555556
103	CA007	14	2	2	e	inv	7	14	3.6	CA007.2.e	2.63905732961526	1.28093384546206	2.64575131106459	49.2961027777778	-118.473830555556
104	CA007	11	12	20	a	inv	12	13.4	4.1	CA007.20.a	2.59525470695687	1.41098697371026	3.46410161513775	49.2961027777778	-118.473830555556
105	CA007	5	7	3	a	inv	8	15.4	2.6	CA007.3.a	2.73436750941958	0.955511445027436	2.82842712474619	49.2961027777778	-118.473830555556
106	CA007	3	28	3	b	inv	8	12.9	2.8	CA007.3.b	2.55722731136763	1.02961941718116	2.82842712474619	49.2961027777778	-118.473830555556
107	CA007	18	17	2	d	inv	10	13.2	3.1	CA007.2.d	2.58021682959233	1.1314021114911	3.16227766016838	49.2961027777778	-118.473830555556
108	CA007	9	32	4	b	inv	10	12.1	3.2	CA007.4.b	2.4932054526027	1.16315080980568	3.16227766016838	49.2961027777778	-118.473830555556
109	CA007	8	19	4	a	inv	11	9.8	3.4	CA007.4.a	2.28238238567653	1.22377543162212	3.3166247903554	49.2961027777778	-118.473830555556
110	CA007	20	5	2	b	inv	10	13	3	CA007.2.b	2.56494935746154	1.09861228866811	3.16227766016838	49.2961027777778	-118.473830555556
111	CA007	19	48	2	c	inv	13	10.1	2.1	CA007.2.c	2.31253542384721	0.741937344729377	3.60555127546399	49.2961027777778	-118.473830555556
112	CA007	7	45	1	a	inv	9	11.4	2.9	CA007.1.a	2.43361335540045	1.06471073699243	3	49.2961027777778	-118.473830555556
113	CA008	28	21	6	e	inv	12	12.3	2.2	CA008.6.e	2.50959926237837	0.78845736036427	3.46410161513775	49.0120833333333	-118.645711111111
114	CA008	6	50	5	g	inv	11	12	2.8	CA008.5.g	2.484906649788	1.02961941718116	3.3166247903554	49.0120833333333	-118.645711111111
115	CA008	30	43	6	a	inv	8	11	3.7	CA008.6.a	2.39789527279837	1.30833281965018	2.82842712474619	49.0120833333333	-118.645711111111
116	CA008	8	36	5	d	inv	10	11.3	3.1	CA008.5.d	2.42480272571829	1.1314021114911	3.16227766016838	49.0120833333333	-118.645711111111
117	CA008	41	26	4	f	inv	8	15.5	2.9	CA008.4.f	2.7408400239252	1.06471073699243	2.82842712474619	49.0120833333333	-118.645711111111
118	CA008	9	47	6	h	inv	8	11.9	3.1	CA008.6.h	2.47653840011748	1.1314021114911	2.82842712474619	49.0120833333333	-118.645711111111
119	CA008	36	24	4	j	inv	11	17.5	6	CA008.4.j	2.86220088092947	1.79175946922805	3.3166247903554	49.0120833333333	-118.645711111111
120	CA008	49	20	2	c	inv	12	16.8	2.1	CA008.2.c	2.82137888640921	0.741937344729377	3.46410161513775	49.0120833333333	-118.645711111111
121	CA008	42	49	6	c	inv	10	9.6	2.5	CA008.6.c	2.26176309847379	0.916290731874155	3.16227766016838	49.0120833333333	-118.645711111111
122	CA008	5	35	5	j	inv	11	14	2.8	CA008.5.j	2.63905732961526	1.02961941718116	3.3166247903554	49.0120833333333	-118.645711111111
123	CA008	32	23	5	l	inv	9	12.8	2.5	CA008.5.l	2.54944517092557	0.916290731874155	3	49.0120833333333	-118.645711111111
124	CA008	50	6	5	m	inv	10	12.2	3.8	CA008.5.m	2.50143595173921	1.33500106673234	3.16227766016838	49.0120833333333	-118.645711111111
125	CA008	37	17	5	e	inv	12	15	4.5	CA008.5.e	2.70805020110221	1.50407739677627	3.46410161513775	49.0120833333333	-118.645711111111
126	CA008	11	43	5	a	inv	15	11.4	2.1	CA008.5.a	2.43361335540045	0.741937344729377	3.87298334620742	49.0120833333333	-118.645711111111
127	CA008	19	27	4	a	inv	13	14.5	2.5	CA008.4.a	2.67414864942653	0.916290731874155	3.60555127546399	49.0120833333333	-118.645711111111
128	CA008	2	7	6	g	inv	10	12.6	2.5	CA008.6.g	2.53369681395743	0.916290731874155	3.16227766016838	49.0120833333333	-118.645711111111
129	CA008	25	12	5	c	inv	13	11.5	3	CA008.5.c	2.4423470353692	1.09861228866811	3.60555127546399	49.0120833333333	-118.645711111111
130	CA008	18	40	5	i	inv	12	12.5	1.3	CA008.5.i	2.52572864430826	0.262364264467491	3.46410161513775	49.0120833333333	-118.645711111111
131	CA008	14	21	6	b	inv	12	15.8	3.7	CA008.6.b	2.76000994003292	1.30833281965018	3.46410161513775	49.0120833333333	-118.645711111111
132	CA008	22	11	5	b	inv	11	11.5	2.5	CA008.5.b	2.4423470353692	0.916290731874155	3.3166247903554	49.0120833333333	-118.645711111111
133	CA008	21	28	4	e	inv	12	11.2	3	CA008.4.e	2.41591377830105	1.09861228866811	3.46410161513775	49.0120833333333	-118.645711111111
134	CA008	1	43	2	e	inv	13	13	4	CA008.2.e	2.56494935746154	1.38629436111989	3.60555127546399	49.0120833333333	-118.645711111111
135	CA008	13	44	2	a	inv	14	11.8	2.7	CA008.2.a	2.46809953147162	0.993251773010283	3.74165738677394	49.0120833333333	-118.645711111111
136	CA008	17	16	4	d	inv	12	12.7	3.6	CA008.4.d	2.54160199346455	1.28093384546206	3.46410161513775	49.0120833333333	-118.645711111111
137	CA008	3	20	5	h	inv	8	10.6	3.4	CA008.5.h	2.36085400111802	1.22377543162212	2.82842712474619	49.0120833333333	-118.645711111111
138	CA008	24	14	6	f	inv	6	14.1	3	CA008.6.f	2.64617479738412	1.09861228866811	2.44948974278318	49.0120833333333	-118.645711111111
139	CA008	33	49	4	b	inv	10	13.5	3.4	CA008.4.b	2.60268968544438	1.22377543162212	3.16227766016838	49.0120833333333	-118.645711111111
140	CA008	35	1	6	i	inv	8	10	1.5	CA008.6.i	2.30258509299405	0.405465108108164	2.82842712474619	49.0120833333333	-118.645711111111
141	CA008	44	18	4	i	inv	9	15.2	4.1	CA008.4.i	2.72129542785223	1.41098697371026	3	49.0120833333333	-118.645711111111
142	CA008	16	33	2	d	inv	10	14.2	2.6	CA008.2.d	2.65324196460721	0.955511445027436	3.16227766016838	49.0120833333333	-118.645711111111
143	CA008	27	20	4	c	inv	14	14.6	2.5	CA008.4.c	2.68102152871429	0.916290731874155	3.74165738677394	49.0120833333333	-118.645711111111
144	CA008	23	6	6	d	inv	8	13	4	CA008.6.d	2.56494935746154	1.38629436111989	2.82842712474619	49.0120833333333	-118.645711111111
145	CA008	40	36	4	g	inv	10	15.2	5.4	CA008.4.g	2.72129542785223	1.68639895357023	3.16227766016838	49.0120833333333	-118.645711111111
146	CA008	7	38	4	h	inv	9	11.7	2.8	CA008.4.h	2.45958884180371	1.02961941718116	3	49.0120833333333	-118.645711111111
147	CA008	39	41	4	m	inv	10	16	3.5	CA008.4.m	2.77258872223978	1.25276296849537	3.16227766016838	49.0120833333333	-118.645711111111
148	CA008	47	12	5	f	inv	13	15.7	4.2	CA008.5.f	2.75366071235426	1.43508452528932	3.60555127546399	49.0120833333333	-118.645711111111
149	CA008	12	45	2	b	inv	13	13.6	3.9	CA008.2.b	2.61006979274201	1.3609765531356	3.60555127546399	49.0120833333333	-118.645711111111
150	GR001	23	15	14	d	nat	10	14.5	4.4	GR001.14.d	2.67414864942653	1.48160454092422	3.16227766016838	40.1566666666667	22.5480555555556
151	GR001	28	30	26	d	nat	8	14.4	1.8	GR001.26.d	2.66722820658195	0.587786664902119	2.82842712474619	40.1566666666667	22.5480555555556
152	GR001	43	10	28	c	nat	7	12.3	2.5	GR001.28.c	2.50959926237837	0.916290731874155	2.64575131106459	40.1566666666667	22.5480555555556
153	GR001	40	43	14	e	nat	11	16	5	GR001.14.e	2.77258872223978	1.6094379124341	3.3166247903554	40.1566666666667	22.5480555555556
154	GR001	45	43	28	d	nat	8	14.5	2.6	GR001.28.d	2.67414864942653	0.955511445027436	2.82842712474619	40.1566666666667	22.5480555555556
155	GR001	4	35	14	l	nat	10	15.9	3.6	GR001.14.l	2.76631910922619	1.28093384546206	3.16227766016838	40.1566666666667	22.5480555555556
156	GR001	44	29	26	h	nat	6	15.8	4.1	GR001.26.h	2.76000994003292	1.41098697371026	2.44948974278318	40.1566666666667	22.5480555555556
157	GR001	32	15	28	j	nat	9	14.3	3.7	GR001.28.j	2.66025953726586	1.30833281965018	3	40.1566666666667	22.5480555555556
