Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
US001.14.f	2	1	US001	14	f	inv	nut def	15	16.4	3.5	y	NA
HU001.14.f	2	2	HU001	14	f	nat	nut def	18	16	5.1	y	NA
US018.11.f	2	3	US018	11	f	inv	nut def	14	15.1	3.3	y	NA
UA002.13.c	2	4	UA002	13	c	nat	nut def	16	13.4	4.6	y	NA
US013.14.a	2	6	US013	14	a	inv	nut def	11	13.8	6.2	y	NA
CA008.6.g	2	7	CA008	6	g	inv	nut def	13	18.4	6.2	y	NA
TR005.9.c	2	9	TR005	9	c	nat	nut def	11	13.2	4.6	y	NA
RO005.14.g	2	10	RO005	14	g	nat	nut def	15	13.7	3.9	y	NA
UA004.7.f	2	12	UA004	7	f	nat	nut def	22	14.1	3.1	y	NA
US021.8.i	2	13	US021	8	i	inv	nut def	13	17.1	6.2	y	NA
GR002.25.g	2	14	GR002	25	g	nat	nut def	11	18.7	3.4	y	NA
TR001.1.f	2	15	TR001	1	f	nat	nut def	12	25.4	7.2	y	NA
GR003.12.b	2	16	GR003	12	b	nat	nut def	14	17.4	4.3	y	NA
RO004.21.a	2	17	RO004	21	a	nat	nut def	17	15.5	3.6	y	NA
RO001.13.h	2	18	RO001	13	h	nat	nut def	14	17.2	3.9	y	NA
RU008.17.d	2	19	RU008	17	d	nat	nut def	13	20.7	5.4	y	NA
CA001.6.k	2	20	CA001	6	k	inv	nut def	11	21.9	5.5	y	NA
RO002.22.j	2	21	RO002	22	j	nat	nut def	14	14.4	4.4	y	NA
UA001.22.a	2	24	UA001	22	a	nat	nut def	17	18.4	5.8	y	NA
CA007.3.c	2	25	CA007	3	c	inv	nut def	11	15	4.6	y	NA
US003.28.h	2	26	US003	28	h	inv	nut def	13	23.3	6.2	y	NA
US014.22.b	2	27	US014	22	b	inv	nut def	12	17.3	3.8	y	NA
US023.45.a	2	28	US023	45	a	inv	nut def	12	17.7	5	y	NA
US015.2.a	2	30	US015	2	a	inv	nut def	16	16.9	5.6	n	NA
BG001.22.c	2	31	BG001	22	c	nat	nut def	18	14.6	3.5	y	NA
GR001.6.c	2	32	GR001	6	c	nat	nut def	10	17	4.7	y	2
TR003.6.d	2	33	TR003	6	d	nat	nut def	16	16.8	5.2	y	NA
RU005.6.a	2	35	RU005	6	a	nat	nut def	17	15.9	3.7	y	NA
RU001.10.a	2	38	RU001	10	a	nat	nut def	9	16.4	4.9	y	NA
US002.1.l	2	39	US002	1	l	inv	nut def	19	15.8	3.6	y	NA
UA003.9A.c	2	41	UA003	9A	c	nat	nut def	12	14.2	4.3	y	NA
US011.8.d	2	42	US011	8	d	inv	nut def	13	15.7	3.8	y	NA
UA006.10.c	2	43	UA006	10	c	nat	nut def	12	15.6	4.7	y	NA
