Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log
TR003.24.f	13	1	TR003	24	f	nat	nut def	TR003.24.f	78	16	9.9	1.9	n	78	4.22	0.488	0.855	17	10.3	2	y	NA	7	8.5	1.8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.64575131106459	2.14006616349627	0.587786664902119	4.12310562561766	2.33214389523559	0.693147180559945	4	2.29253475714054	0.641853886172395	1.43983512804792	-0.71743987312899	-0.156653810045377
TR001.10.c	13	2	TR001	10	c	nat	nut def	TR001.10.c	78	12	19	4.8	n	78	5.41	1.406	2.674	13	19.5	4.3	y	NA	9	16.1	3.5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.77881927199042	1.25276296849537	3.60555127546399	2.9704144655697	1.45861502269952	3.46410161513775	2.94443897916644	1.56861591791385	1.68824909285839	0.340748793388473	0.983575478679751
RO002.12.d	13	4	RO002	12	d	nat	nut def	RO002.12.d	78	13	15.7	4.6	n	78	5.17	0.947	1.226	12	15.9	3.6	y	NA	8	13.2	2.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.58021682959233	0.993251773010283	3.46410161513775	2.76631910922619	1.28093384546206	3.60555127546399	2.75366071235426	1.52605630349505	1.64287268852034	-0.0544561857960589	0.20375683751402
CA001.4.c	13	5	CA001	4	c	inv	nut def	CA001.4.c	78	15	15.6	4.2	n	78	6.2	1.337	2.651	16	14.1	4.5	y	NA	12	11.9	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.47653840011748	0.741937344729377	4	2.64617479738412	1.50407739677627	3.87298334620742	2.74727091425549	1.43508452528932	1.82454929205105	0.290428298119806	0.974936927306888
TR005.18.f	13	8	TR005	18	f	nat	nut def	TR005.18.f	78	7	12.8	3.3	n	78	5.32	0.737	0.975	8	13.1	3.1	y	NA	9	12.5	3.3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.52572864430826	1.19392246847243	2.82842712474619	2.57261223020711	1.1314021114911	2.64575131106459	2.54944517092557	1.19392246847243	1.67147330335355	-0.3051673867928	-0.0253178079842899
UA002.14.a	13	9	UA002	14	a	nat	nut def	UA002.14.a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UA002.15.c	13	9	UA002	15	c	nat	nut def	UA002.15.c	78	12	16.6	3.5	n	78	5.86	1.192	2.524	10	17.3	3.5	y	NA	10	17.6	3.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16227766016838	2.86789890204411	1.25276296849537	3.16227766016838	2.85070650150373	1.25276296849537	3.46410161513775	2.8094026953625	1.25276296849537	1.76814960358892	0.175632568643158	0.925844944678967
US015.13.k	13	11	US015	13	k	inv	nut def	US015.13.k	78	10	14.5	3.9	n	78	5.38	1.195	2.491	15	15.6	4.8	y	NA	10	11	3.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.39789527279837	1.1314021114911	3.87298334620742	2.74727091425549	1.56861591791385	3.16227766016838	2.67414864942653	1.3609765531356	1.68268837417369	0.178146185383474	0.912684236280043
TR004.8.h	13	12	TR004	8	h	nat	nut def	TR004.8.h	78	7	13.7	3.1	n	78	3.31	0.588	0.326	13	18.5	4.6	y	NA	8	13.4	2.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.59525470695687	1.06471073699243	3.60555127546399	2.91777073208428	1.52605630349505	2.64575131106459	2.61739583283408	1.1314021114911	1.19694818938897	-0.53102833108351	-1.12085789761543
RO001.6.b	13	14	RO001	6	b	nat	nut def	RO001.6.b	78	19	16.6	5.1	n	78	5.82	2.195	3.888	16	18.1	4.8	y	NA	13	16.9	3.6	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.60555127546399	2.82731362192903	1.28093384546206	4	2.89591193827178	1.56861591791385	4.35889894354067	2.8094026953625	1.62924053973028	1.76130026174335	0.786182046527135	1.35789488659819
UA003.6.e	13	15	UA003	6	e	nat	nut def	UA003.6.e	78	10	20.2	5.9	n	78	5.58	1.693	3.033	9	21.7	5	y	NA	8	17.2	2.3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.84490938381941	0.832909122935104	3	3.07731226054641	1.6094379124341	3.16227766016838	3.00568260440716	1.77495235091167	1.71918877639322	0.526502103150998	1.10955222870644
RU002.7.b	13	16	RU002	7	b	nat	nut def	RU002.7.b	78	16	18.9	4.2	n	78	4.68	1.158	3.356	16	20.8	4.9	y	NA	9	14.7	2.6	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.68784749378469	0.955511445027436	4	3.03495298670727	1.58923520511658	4	2.9391619220656	1.43508452528932	1.54329810992956	0.146694379150803	1.21074978860496
RO004.12.a	13	17	RO004	12	a	nat	nut def	RO004.12.a	78	13	19.1	4.5	n	78	6.37	1.684	NA	15	18.9	3.4	y	NA	11	16	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.77258872223978	0.741937344729377	3.87298334620742	2.9391619220656	1.22377543162212	3.60555127546399	2.94968833505258	1.50407739677627	1.85159946958407	0.521171915820135	NA
RO003.9.j	13	18	RO003	9	j	nat	nut def	RO003.9.j	78	18	15.4	3.7	n	78	4.8	1.247	2.761	14	17.6	3.6	y	NA	8	14.1	2.2	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.64617479738412	0.78845736036427	3.74165738677394	2.86789890204411	1.28093384546206	4.24264068711928	2.73436750941958	1.30833281965018	1.56861591791385	0.220740666697899	1.01559293294802
UA001.25.h	13	19	UA001	25	h	nat	nut def	UA001.25.h	78	25	18.6	4.3	n	78	6.44	1.723	4.833	18	17.8	5.6	y	NA	12	17	4.1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.83321334405622	1.41098697371026	4.24264068711928	2.87919845729804	1.7227665977411	5	2.92316158071916	1.45861502269952	1.86252854011626	0.544066957545793	1.57546739286295
RU008.16.i	13	20	RU008	16	i	nat	nut def	RU008.16.i	78	18	14.7	4.1	n	78	5.91	1.389	3.6	10	16	3.9	y	NA	15	13.9	2.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.87298334620742	2.63188884013665	0.78845736036427	3.16227766016838	2.77258872223978	1.3609765531356	4.24264068711928	2.68784749378469	1.41098697371026	1.77664583141801	0.328584063772207	1.28093384546206
RO005.25.c	13	22	RO005	25	c	nat	nut def	RO005.25.c	78	13	14	3.3	n	78	5.51	0.925	1.734	16	16.8	2.9	y	NA	9	10.8	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.37954613413017	0.741937344729377	4	2.82137888640921	1.06471073699243	3.60555127546399	2.63905732961526	1.19392246847243	1.70656462316482	-0.0779615414697118	0.55043087835835
RU005.6.f	13	23	RU005	6	f	nat	nut def	RU005.6.f	78	21	20.1	4.4	n	78	6.05	2.454	3.777	16	23.5	4.3	y	NA	10	18.1	4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.89591193827178	1.38629436111989	4	3.15700042115011	1.45861502269952	4.58257569495584	3.00071981506503	1.48160454092422	1.80005827204275	0.89771934628872	1.32893004373032
US001.3.a	13	26	US001	3	a	inv	nut def	US001.3.a	78	16	24.7	6.3	n	78	6.98	2.384	7.859	11	24.9	5.2	y	NA	10	16.3	4.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.79116510781272	1.48160454092422	3.3166247903554	3.21486780347066	1.64865862558738	4	3.20680324363393	1.84054963339749	1.94304891677428	0.868779749203103	2.06165937188404
US021.8.k	13	28	US021	8	k	inv	nut def	US021.8.k	78	13	16.7	5.5	n	78	5.6	1.531	3.667	16	16.5	5.6	y	NA	11	9.9	3.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.29253475714054	1.25276296849537	4	2.80336038090653	1.7227665977411	3.60555127546399	2.81540871942271	1.70474809223843	1.7227665977411	0.425921116675547	1.29937388908919
US023.41.e	13	29	US023	41	e	inv	nut def	US023.41.e	78	21	20.6	6.3	n	78	6.05	2.344	6.442	14	20.7	5.7	y	NA	11	16.8	6.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.82137888640921	1.87180217690159	3.74165738677394	3.03013370027132	1.7404661748405	4.58257569495584	3.02529107579554	1.84054963339749	1.80005827204275	0.851858871714766	1.86283905090901
GR003.10.c	13	30	GR003	10	c	nat	nut def	GR003.10.c	78	12	15.6	4.9	n	78	5.95	1.397	2.908	9	19.8	5.3	y	NA	9	16.7	5.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.81540871942271	1.64865862558738	3	2.98568193770049	1.66770682055808	3.46410161513775	2.74727091425549	1.58923520511658	1.78339121955754	0.334327080274825	1.06746555967127
US011.8.a	13	31	US011	8	a	inv	nut def	US011.8.a	78	13	12.6	2.5	n	78	5.28	1.275	3.598	12	17.4	4.6	y	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	3.46410161513775	2.85647020622048	1.52605630349505	3.60555127546399	2.53369681395743	0.916290731874155	1.66392609771817	0.242946178610389	1.28037813552834
US014.16.k	13	32	US014	16	k	inv	nut def	US014.16.k	78	15	16.2	4.1	n	78	5.22	1.528	5.996	14	16.7	3.5	y	NA	9	13	4.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.56494935746154	1.43508452528932	3.74165738677394	2.81540871942271	1.25276296849537	3.87298334620742	2.78501124223834	1.41098697371026	1.65249740189455	0.423959690744329	1.79109258024035
BG001.25.i	13	34	BG001	25	i	nat	nut def	BG001.25.i	78	11	13.3	3.2	n	78	6.54	1.114	3.439	16	17.4	5.6	y	NA	10	14.2	3.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.65324196460721	1.28093384546206	4	2.85647020622048	1.7227665977411	3.3166247903554	2.58776403522771	1.16315080980568	1.87793716546911	0.107957141505092	1.23518073145013
RU001.7.b	13	35	RU001	7	b	nat	nut def	RU001.7.b	78	18	18.6	3.6	n	78	5.62	1.459	2.656	15	19.4	4.6	y	NA	11	13.4	3.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.59525470695687	1.25276296849537	3.87298334620742	2.96527306606928	1.52605630349505	4.24264068711928	2.92316158071916	1.28093384546206	1.7263316639056	0.377751269540649	0.976821231614187
US002.17.b	13	37	US002	17	b	inv	nut def	US002.17.b	78	16	15.2	5.1	n	78	6.42	1.699	5.493	15	15.6	4.4	y	NA	10	12.5	4.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.52572864430826	1.43508452528932	3.87298334620742	2.74727091425549	1.48160454092422	4	2.72129542785223	1.62924053973028	1.85941811770187	0.530039842689795	1.70347455436048
