ID	CrownDiam.mmA	ShootMass.gA	RootMass.gA	Sm.Rm
CA001.2.h	4.34	0.571	0.516	1.106589147
CA001.3.c	3.26	0.509	0.357	1.425770308
CA001.3.i	4.35	0.69	0.38	1.815789474
CA001.4.d	4.35	0.644	1.704	0.377934272
CA001.4.e	4.43	0.623	1.069	0.582787652
CA001.6.f	4.95	0.694	0.542	1.280442804
CA001.6.d	4.38	0.663	0.652	1.016871166
CA001.7.g	4.31	0.856	0.623	1.37399679
CA008.4.e	4.28	0.412	0.263	1.566539924
CA008.5.b	3.86	0.527	0.56	0.941071429
CA008.5.d	5.39	0.619	0.585	1.058119658
CA008.5.l	3.73	0.391	0.355	1.101408451
CA008.6.c	2.76	0.333	0.189	1.761904762
CA008.6.e	4.1	0.415	0.273	1.52014652
US001.3.d	4.64	0.508	0.393	1.292620865
US001.14.g	3.31	0.431	0.238	1.81092437
US001.14.m	5.43	0.761	1.353	0.562453806
US001.20.g	3.65	0.602	0.955	0.630366492
US001.22.d	3.92	0.602	0.531	1.133709981
US001.22.g	5.95	0.528	0.533	0.990619137
US001.23.h	4.33	0.667	0.348	1.916666667
US001.23.i	4.5	0.513	0.327	1.568807339
US002.1.f	3.36	0.465	0.274	1.697080292
US002.1.h	4.41	0.718	0.718	1
US002.5.a	5.5	0.507	0.575	0.88173913
US002.5.d	4.57	0.374	0.29	1.289655172
US002.5.e	4.8	0.446	0.417	1.069544365
US002.5.g	6.16	0.711	0.492	1.445121951
US002.22.e	3.65	0.745	0.339	2.197640118
US002.24.j	4.59	0.768	0.996	0.771084337
US003.6.e	2.33	0.16	0.225	0.711111111
US003.6.g	2.12	0.237	0.326	0.726993865
US003.19.f	3.61	0.512	0.614	0.833876221
US003.20.c	2.98	0.438	0.313	1.399361022
US003.20.e	4.98	0.607	0.283	2.144876325
US003.20.h	2.61	0.32	0.241	1.32780083
US003.27.e	3.36	0.364	0.162	2.24691358
US003.28.b	2.7	0.468	0.307	1.524429967
US011.8.j	5.12	0.869	0.308	2.821428571
US011.8.k	1.6	0.085	0.006	14.16666667
US012.28.d	3.22	0.304	0.446	0.68161435
US012.31.i	1.11	0.097	0.021	4.619047619
US014.16.d	3.16	0.514	0.288	1.784722222
US014.16.h	3.24	0.372	0.131	2.839694656
US014.16.l	3.32	0.345	0.114	3.026315789
US014.22.d	2.91	0.343	0.194	1.768041237
US015.3.b	4.01	0.673	0.439	1.533029613
US015.13.e	1.35	0.022	0.002	11
US015.15.b	3.36	0.449	0.254	1.767716535
US015.15.i	3.54	0.199	0.112	1.776785714
US015.17.c	4.1	0.681	0.326	2.088957055
US015.17.d	3.96	0.416	0.218	1.908256881
US015.17.i	2.78	0.29	0.182	1.593406593
US021.3.a	2.89	0.55	0.306	1.797385621
US022.17.e	3.57	0.345	0.214	1.612149533
US022.23.a		0.225		
US022.42.b	4.49	0.587	0.696	0.843390805
US022.42.e	5.94	0.671	0.989	0.678463094
US022.42.f	3.81	0.493	0.282	1.74822695
US023.34.f	4.63	0.808	0.503	1.606361829
BG001.16.c	5.19	0.467	0.515	0.906796117
