MomID	PopID	Mom	Origin	SeedWt	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	ComboSeedWt	SeedCount																										
BG001.22	BG001	22	nat	1.294666667	3.20	15	100	2008	1	19.42	15																										
BG001.17	BG001	17	nat	1.088588235	3.00	15	88	2008	1	18.506	17																										
BG001.29	BG001	29	nat	1.258466667	3.07	14	93	2008	1	18.877	15																										
BG001.16	BG001	16	nat	0.823333333	3.07	14	93	2008	1	12.35	15																										
BG001.25	BG001	25	nat	0.794266667	3.00	14	93	2008	1	11.914	15																										
CA001.2	CA001	2	inv	1.375933333	3.14	14	93	2008	1	20.639	15																										
CA001.4	CA001	4	inv	1.644933333	3.33	15	100	2008	1	24.674	15																										
CA001.6	CA001	6	inv	1.463133333	4.29	14	93	2008	1	21.947	15																										
CA001.7	CA001	7	inv	1.452066667	3.43	14	93	2008	1	21.781	15																										
CA001.3	CA001	3	inv	1.2098	3.33	15	100	2008	1	18.147	15																										
CA007.3	CA007	3	inv	2.300333333	3.33	3	100	2008	1	6.901	3																										
CA007.6	CA007	6	inv	0.85825		0	0	2008	1	3.433	4																										
CA007.1	CA007	1	inv	0.925333333	3.00	1	33	2008	1	2.776	3																										
CA007.2	CA007	2	inv	1.146666667	3.00	5	83	2008	1	6.88	6																										
CA007.4	CA007	4	inv	1.1215	3.00	3	75	2008	1	4.486	4																										
CA007.5	CA007	5	inv	0.985857143	3.00	1	14	2008	1	6.901	7																										
CA008.4	CA008	4	inv	1.062	3.36	14	93	2008	1	15.93	15																										
CA008.5	CA008	5	inv	1.703133333	3.86	14	93	2008	1	25.547	15																										
CA008.6	CA008	6	inv	0.7944	4.33	9	60	2008	1	11.916	15																										
CA008.2	CA008	2	inv	0.872444444	3.67	6	67	2008	1	7.852	9																										
CA008.1	CA008	1	inv	0.800714286	6.00	2	29	2008	1	5.605	7																										
GR001.26	GR001	26	nat	0.778733333	3.93	15	100	2008	1	11.681	15																										
GR001.28	GR001	28	nat	0.849266667	3.07	14	93	2008	1	12.739	15																										
GR001.14	GR001	14	nat	1.006133333	3.27	15	100	2008	1	15.092	15																										
GR001.24	GR001	24	nat	0.780933333	4.00	7	47	2008	1	11.714	15																										
GR001.6	GR001	6	nat	0.7006	4.86	7	47	2008	1	10.509	15																										
GR002.17	GR002	17	nat	0.895666667	3.17	6	40	2008	1	13.435	15																										
GR002.25	GR002	25	nat	1.0792	3.23	13	87	2008	1	16.188	15																										
GR002.2	GR002	2	nat	0.8696	3.77	13	87	2008	1	13.044	15																										
GR002.8	GR002	8	nat	0.834333333	3.55	11	73	2008	1	12.515	15																										
GR002.13	GR002	13	nat	0.781933333	3.87	15	100	2008	1	11.729	15																										
GR003.9	GR003	9	nat	0.7354	3.67	12	80	2008	1	11.031	15																										
GR003.12	GR003	12	nat	0.585666667	3.60	15	100	2008	1	8.785	15																										
GR003.10	GR003	10	nat	0.842466667	3.13	15	100	2008	1	12.637	15																										
