ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
BG001.16.f																				
BG001.25.a						69									69	1	16			
BG001.22.h																				
BG001.29.d																				
BG001.16.b																				
BG001.17.d																				
BG001.17.c																				
BG001.16.j																				
BG001.29.e						69									69	1	27.5			
BG001.17.f																				
BG001.22.f																				
BG001.17.e																				
BG001.25.b						69									69	1	16.5			
BG001.22.b						69									69	1	13.5			
BG001.22.i						53					53	1	4		69	1	32.5			
BG001.17.j																				
BG001.25.e						39									69	1	17			
BG001.25.h						38					38	1	6.5		69	1	31.5			
BG001.25.f																				
BG001.29.g																				
BG001.16.a			15																	
BG001.16.i	3	5		13																
BG001.16.h	2	4		16																
BG001.25.d	1	4		13																
BG001.22.e	5	7		12																
BG001.17.h	5	7		12																
BG001.29.i	3	6		12																
BG001.29.f	4	5		13																
BG001.29.h			6	24																
BG001.16.d			6	18																
BG001.16.e			6	21	19															
BG001.16.g			7	12																
BG001.17.i			6	24	19															
BG001.29.a			5			20					39	1	16.1		69	1	20.5			
BG001.29.c			6			29					39	1	19.8		69	1	20			
BG001.22.c			16																	
BG001.25.i			16																	
BG001.22.d			15																	
BG001.17.g			15																	
BG001.17.b			15																	
BG001.22.j			15																	
BG001.22.g			15																	
CA001.3.g																				
CA001.6.c																				
CA001.2.a																				
CA001.4.f																				
CA001.7.i																				
CA001.2.b																				
CA001.7.b																				
CA001.6.i																				
CA001.7.d																				
CA001.4.a																				
CA001.4.g																				
CA001.6.e																				
CA001.7.h																				
CA001.2.i																				
CA001.2.e																				
CA001.2.j																				
CA001.2.c																				
CA001.3.j																				
CA001.6.a																				
CA001.4.j																				
CA001.6.h																				
CA001.4.h	4	6		12																
CA001.7.j	2	5		11																
CA001.3.d	3	4		11																
CA001.2.g	4	6		11																
CA001.7.f	5	6		15																
CA001.3.e	2	6		12																
CA001.6.j	1	4		8																
CA001.2.d			7	36	16															
CA001.7.c			5	16																
CA001.4.b			6	36	19															
CA001.3.h			5		25															
CA001.6.b			5	29	25															
CA001.4.i			8	21	19															
CA001.7.a			6																	
CA001.6.k			14																	
CA001.4.c			15																	
CA001.3.b			14																	
CA001.7.e			14																	
CA001.3.a			14																	
CA001.3.f			16																	
CA001.2.f			14																	
CA007.3.a																				
CA007.4.b																				
CA007.2.d																				
CA007.4.a			15																	
CA007.20.a			15			50					50	1	18		69	1	31			
CA007.5.a	3	4		11																
CA007.2.c	1	3		11																
CA007.3.b			8	19	18															
CA007.2.e			7	14																
CA007.3.c			14																	
CA007.1.a			14																	
CA008.5.j																				
CA008.5.g																				
CA008.4.h																				
CA008.6.h																				
CA008.2.b						69									69	1	5.5			
CA008.5.i																				
CA008.6.f																				
CA008.5.c																				
CA008.6.a																				
CA008.4.g																				
CA008.4.i																				
CA008.5.a			15																	
CA008.2.d																				
CA008.4.b																				
CA008.4.f						69									69	1	7.5			
CA008.2.e	1	3		12																
CA008.4.d	3	6		12																
CA008.4.a	2	4		12																
CA008.5.e	3	5		14																
CA008.5.m	5	8		12																
CA008.5.h			6	11																
CA008.6.b			5	21	20															
CA008.6.d			7	19																
CA008.6.i			8	12																
CA008.4.m			5	12																
CA008.6.g			16																	
CA008.2.a			15																	
CA008.4.c			16																	
CA008.4.j			15																	
CA008.5.f			14																	
CA008.2.c			16																	
GR001.24.b																				
GR001.24.e						38					38	1	6.7		69	1	45			
GR001.6.e																				
GR001.28.b																				
GR001.26.i																				
GR001.24.d																				
GR001.24.f																				
GR001.28.g						11	18	1	21		39	1	29.6		69	1	31.6		53	white
GR001.14.e																				
GR001.26.h																				
GR001.14.l																				
GR001.6.b																				
GR001.26.c																				
GR001.28.h																				
GR001.14.i																				
GR001.26.g						18	18	1	6.1			1	38.5		69	1	39.5		63	white
