ID	HMsrDay	HMsrDate	LfCountH	MaxLfLgthH	MaxLfWdthH	BoltedH	BoltCountH	MaxBoltHtH	FlrHeadCount	HarvestDay	HarvestDate	CrownDiam.mmH	ShootMass.gH	RootMass.gH
TR003.15.e	85	8-Dec-09	8	23.5	6.6	y	4	37	51	86	9-Dec-09	4.82	1.744	0.242
CA001.3.g	85	8-Dec-09	12	28.1	6	y	1	10.5	0	86	9-Dec-09	7.64	3.867	1.292
CA007.3.a	85	8-Dec-09	19	26.7	6.1	n				86	9-Dec-09	8.64	2.476	1.078
UA008.13.a	85	8-Dec-09	15	29.2	5.1	n				86	9-Dec-09	5.5	2.604	1.47
RO001.21.i	85	8-Dec-09	8	24.6	4.8	y	1	22	0	86	9-Dec-09	7.6	3.657	0.99
TR005.20.h	85	8-Dec-09	11	21.4	4.2	y	3	36.5	55	86	9-Dec-09	4.46	1.928	0.554
US012.31.d	85	8-Dec-09	21	31	6.9	n				86	9-Dec-09	7.44	3.084	1.614
TR004.27.d	85	8-Dec-09	10	32.5	8.3	n				86	9-Dec-09	7.17	1.544	0.495
US014.17.g	85	8-Dec-09	23	27.9	6.7	n				86	9-Dec-09	5.88	3.403	0.99
GR001.24.b	85	8-Dec-09	19	33	6.5	n				86	9-Dec-09	5.62	2.099	0.7
GR002.25.i	85	8-Dec-09	19	26.8	5.4	n				86	9-Dec-09	8.93	2.839	2.111
RU008.16.f	85	8-Dec-09	15	25.3	6.5	y	1	9	0	86	9-Dec-09	10.74	4.09	2.641
RU004.5.a	85	8-Dec-09	20	26.1	5.1	y	1	4.5	0	86	9-Dec-09	6.89	1.678	0.474
GR003.12.c	85	8-Dec-09	2	4.1	1	y	2	36.5	73	86	9-Dec-09	7.22	5.217	1.264
TR001.10.e	85	8-Dec-09	18	4.2	39.3	n				86	9-Dec-09	9.35	2.9	1.745
RO005.23.j	85	8-Dec-09	21	5.9	32.5	n				86	9-Dec-09	9.89	5.708	4.948
RO003.15.c	85	8-Dec-09	0			y	1	40	96	86	9-Dec-09	7.34	3.284	0.5
UA005.18.c	85	8-Dec-09	7	27.1	7.5	y	1	26.5	0	86	9-Dec-09	9.01	4.323	2.6
US020.42.a	85	8-Dec-09	10	26.7	5.1	n				86	9-Dec-09	4.86	1.406	1.538
UA003.8.h	85	8-Dec-09	17	32.7	7.3	n				86	9-Dec-09	7.85	4.391	3.257
US022.31.b	85	8-Dec-09	18	30.9	6.3	n				86	9-Dec-09	7.21	2.875	1.583
CA008.5.j	85	8-Dec-09	17	39.5	6.2	n				86	9-Dec-09	7.71	3.169	1.095
RU001.10.g	85	8-Dec-09	18	28.3	5.7	n				86	9-Dec-09	7.32	3.478	1.478
RO004.12.j	85	8-Dec-09	0			y	1	35.5	176	86	9-Dec-09	9.89	5.21	0.874
BG001.16.f	85	8-Dec-09	21	31.8	4.2	n				86	9-Dec-09	8.48	3.474	1.388
US002.17.i	85	8-Dec-09	15	22.8	6.9	n				86	9-Dec-09	8.31	3.004	0.973
UA004.27.j	85	8-Dec-09	14	24	5	n				86	9-Dec-09	9.8	3.25	1.043
RO002.12.c	85	8-Dec-09	9	27.1	6.4	n				86	9-Dec-09	8.45	2.586	1.176
UA001.11.g	85	8-Dec-09	17	26.2	4.8	n				86	9-Dec-09	8.08	2.584	1.115
US001.20.b	85	8-Dec-09	12	32.2	5.2	n				86	9-Dec-09	7.82	2.441	1.117
HU001.28.a	85	8-Dec-09	26	30.5	5.4	n				86	9-Dec-09	9.94	4.798	1.646
RU005.11.b	85	8-Dec-09	21	28.1	4.5	n				86	9-Dec-09	6.6	3.1	0.944
US003.6.f	85	8-Dec-09	10	30.8	5.6	n				86	9-Dec-09	6.62	2.255	0.54
US015.13.h	85	8-Dec-09	16	22.6	5.5	n				86	9-Dec-09	6.66	2.91	1.196
RU008.18.i	86	9-Dec-09	12	25.6	6.2	n				86	9-Dec-09	8.37	2.293	1.064
US003.19.g	86	9-Dec-09	23	22.4	5.4	n				86	9-Dec-09	7.31	3.743	1.567
