ID	LfCount1	MaxLfLgth1	MaxLfWdth1
CA007.5.a	10	15	4.5
GR003.10.f	10	13.8	3.8
RU003.1.d	11	17.5	5.6
RO002.12.f	9	15	2.7
UA004.15.i	11	14.3	3.2
US020.27.c	5	13	1.6
US021.8.a	13	14	4.5
US002.22.f	12	17.8	3.8
US013.14.b	9	13.7	4.6
GR001.14.a	8	16.8	4.6
US026.23.k	4	8.4	1.4
UA003.6.i	10	13.9	4.2
RO003.4.h	10	14	3
RO005.14.i	11	13.9	4
US018.5.l	2	4.2	0.7
UA002.15.i	10	15.4	4.7
RU008.21.a	12	19.4	3.9
CA001.4.h	13	11	3.3
GR002.13.i	8	17.8	3.6
US014.4.a	6	14.2	2.1
TR001.19.b	8	12.5	2.7
UA006.14.k	8	17.3	3.5
US003.20.d	12	13.4	3.7
TR005.20.b	9	14.5	4.5
TR004.18.i	10	13.8	3.3
US001.23.a	11	16.1	5.2
BG001.16.i	12	14.7	3
RU001.2.e	13	13.7	3.5
HU001.14.a	10	12.6	4.2
CA008.2.e	13	13	4
US011.8.l	10	11.7	4.8
RO001.6.a	12	14.6	5.4
RO004.12.g	12	15	3.4
US015.15.c	9	15.1	2.5
US022.17.i	10	12.6	4.2
US001.14.f	13	13.2	3.4
HU001.14.f	14	15.9	4.9
US018.11.f	10	11.9	2.4
UA002.15.j	12	20.1	4.1
US013.14.a	10	12.6	3.7
CA008.6.g	10	12.6	2.5
TR005.9.c	9	12.5	3.9
RO005.14.g	12	12.6	2.6
UA004.7.f	18	12.6	2.9
US021.8.i	12	16.5	5.2
GR002.25.g	10	12.6	3.7
TR001.1.f	11	19.3	5.3
GR003.12.b	8	14.5	2.4
RO004.21.a	11	13.5	2.5
RO001.13.h	10	13.7	2.7
RU008.17.d	10	15.4	5.9
CA001.6.k	11	21.9	5.2
RO002.22.j	9	13.2	3.8
UA001.22.a	9	15.1	4.3
CA007.3.c	9	14.5	4.6
US003.28.h	11	19.5	5.4
US014.22.b	9	16.5	3.6
US023.45.a	11	12.9	3.2
US015.17.i	7	11.9	2.5
BG001.22.c	12	10.9	2.4
GR001.6.c	9	15.1	5.3
TR003.6.d	11	13.7	4.4
RU005.6.a	11	11.2	2.4
RU001.10.a	9	13.5	3.5
US002.1.l	14	15.5	2.3
UA003.9A.c	11	10.1	3.5
US011.8.d	12	12.9	2.4
UA006.10.c	11	15.6	3.4
RO003.11.d	8	10.9	3.4
US022.42.h	9	12.8	2.5
UA008.18.f	7	10.1	2.8
US003.19.j	13	10.1	3
CA001.2.d	11	14.1	3.7
US002.17.g	15	12.1	3.4
US015.2.f	6	12.9	3.6
UA003.9A.h	7	14	2.6
UA004.15.j	10	14.2	4.2
RU005.5.c	12	10.8	3.2
BG001.29.h	13	14.4	4.4
UA005.15.f	8	12.6	3.2
UA001.25.g	11	11.5	3.7
CA008.5.h	8	10.6	3.4
US001.20.a	13	13	3.3
RO003.9.c	9	14.1	4.3
RU001.7.i	9	13.1	2.9
CA007.3.b	8	12.9	2.8
RO005.17.g	8	9.3	2.3
RU008.19.a	13	13.2	3.3
UA006.24.h	9	16.3	5.2
TR001.19.g	8	13.8	4.4
UA008.13.i	9	12.8	3.3
TR004.27.e	9	11.1	4
RO002.13.f	7	11.1	3.2
RO004.21.f	12	10.2	2
HU001.13.j	7	12.4	1.6
GR001.14.b	9	11.3	2.6
GR002.25.h	8	9.4	1.3
GR003.3.m	11	16.4	3.7
RO002.12.e	9	12.2	3.4
RU008.17.g	14	11	2.2
RO003.9.e	10	11.6	2.8
US014.22.g	9	12.7	3.1
BG001.22.i	13	10.3	2.4
TR001.19.a	7	11.7	2.4
RU001.2.a	13	11.5	3.3
US001.3.j	12	13.1	2.4
CA001.2.e	11	15.9	3.8
GR003.3.e	11	12.2	2.4
RO005.14.h	11	16.9	3.4
UA004.18.i	20	12.4	2.8
UA003.7A.d	9	15.5	3.3
HU001.28.c	19	14.5	4.5
TR004.14.h	11	11.5	2.7
RO001.28.g	8	15	3.3
US003.28.g	11	18.3	3.5
GR001.14.l	10	15.9	3.6
US011.8.h	12	14.2	2.7
RO004.13.f	12	10.4	2.3
US021.8.b	12	14.5	2.7
UA001.25.a	12	13.5	2.7
US017.15.b			
US015.17.g	11	9.8	3.4
US002.22.c	10	16.2	3.1
TR003.15.e	7	9.5	1.9
CA001.3.g	11	11.9	3.4
CA007.3.a	8	15.4	2.6
UA008.13.a	8	9.3	1.9
RO001.21.i	9	11.6	2.7
TR005.20.h	10	11.6	2.7
UA002.13.d	9	11.1	2.5
US012.31.d	7	10.6	2.2
TR004.27.d	6	12.9	3.6
US014.17.g	6	8.7	1.7
GR001.24.b	3	9.5	0.9
GR002.25.i	12	12.7	1.4
RU008.16.f	15	13.8	3.7
RU004.5.a	9	11.2	2.9
GR003.12.c	7	14.1	2.9
TR001.10.e	8	16.2	2.5
RO005.23.j	12	15	2.9
RO003.15.c	10	11.5	1.6
UA005.18.c	10	15.7	2.4
US020.42.a	10	14.2	1.8
UA003.8.h	12	17.1	2.5
US022.31.b	8	16.1	4
CA008.5.j	11	14	2.8
RU001.10.g	6	15.5	1.9
RO004.12.j	13	13.9	2.1
BG001.16.f	10	13.2	2.7
US002.17.i	12	10.7	3
UA004.27.j	15	13.5	3.1
RO002.12.c	9	14.1	4.1
UA001.11.g	9	11.2	2.2
US001.20.b	9	10.5	3.4
HU001.28.a	13	13.3	3.5
US003.6.f	6	12.9	2.1
US015.13.h	6	9	1.8
RU008.18.i	11	14	5.2
US003.19.g	13	14.9	3.3
RO002.13.d	9	10.2	2.7
UA003.9A.b	11	15	3.2
US015.3.d	9	8.2	2.4
CA001.6.c	13	16.9	5
GR002.8.h	10	12.4	2.8
RO004.21.i	12	14.7	3
RU001.2.i	15	15.2	4.5
TR004.14.d	9	11.4	3
RO005.23.g	10	17.6	4.3
TR003.24.g	5	9.4	1.2
HU001.28.h	13	16	3.4
RO003.9.g	9	14	2.8
GR003.9.a	8	16.4	4.8
US002.17.d	11	17.2	4.4
US021.8.g	13	14.5	4.8
BG001.25.a	12	13.6	3.7
RU004.7.c	11	18.4	3.8
US022.42.a	14	12.4	3.2
US014.16.e	10	14.2	2.5
GR001.24.e	9	14	2.6
