ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
US001.14.f	15	16.4	3.5	y	
HU001.14.f	18	16	5.1	y	
US018.11.f	14	15.1	3.3	y	
UA002.13.c	16	13.4	4.6	y	
US013.14.a	11	13.8	6.2	y	
CA008.6.g	13	18.4	6.2	y	
TR005.9.c	11	13.2	4.6	y	
RO005.14.g	15	13.7	3.9	y	
UA004.7.f	22	14.1	3.1	y	
US021.8.i	13	17.1	6.2	y	
GR002.25.g	11	18.7	3.4	y	
TR001.1.f	12	25.4	7.2	y	
GR003.12.b	14	17.4	4.3	y	
RO004.21.a	17	15.5	3.6	y	
RO001.13.h	14	17.2	3.9	y	
RU008.17.d	13	20.7	5.4	y	
CA001.6.k	11	21.9	5.5	y	
RO002.22.j	14	14.4	4.4	y	
UA001.22.a	17	18.4	5.8	y	
CA007.3.c	11	15	4.6	y	
US003.28.h	13	23.3	6.2	y	
US014.22.b	12	17.3	3.8	y	
US023.45.a	12	17.7	5	y	
US015.2.a	16	16.9	5.6	n	
BG001.22.c	18	14.6	3.5	y	
GR001.6.c	10	17	4.7	y	2
TR003.6.d	16	16.8	5.2	y	
RU005.6.a	17	15.9	3.7	y	
RU001.10.a	9	16.4	4.9	y	
US002.1.l	19	15.8	3.6	y	
UA003.9A.c	12	14.2	4.3	y	
US011.8.d	13	15.7	3.8	y	
UA006.10.c	12	15.6	4.7	y	
RO003.11.d	11	11.5	3.8	y	
US022.42.h	12	11.4	3.5	y	
UA008.18.f	11	14.8	3.8	y	
RO002.12.e	15			n	
RU008.17.g	42			y	
RO003.9.e	14			n	
UA008.13.i	16			n	
US014.22.g	16			n	
BG001.22.i	18			n	
TR001.19.a	20			n	
RU001.2.a	24			y	
US001.3.j	17			y	
CA001.2.e	16			n	
GR003.3.e	17			y	
RO005.14.h	24			n	
UA004.18.i	33			y	
UA003.7A.d	20			n	
HU001.28.c	28			n	
TR004.14.h	16			n	
RO001.28.g	16			n	
US003.28.g	16			y	
GR001.14.l	14			n	
RO004.13.f	19			n	
US021.8.b	17			n	
UA001.25.a	22			y	
US015.17.g	22			n	
US002.22.c	15			n	
US023.41.b	12			n	
TR003.15.e	13	19.5	3.6	n	
CA001.3.g	14	19.3	5.3	y	
CA007.3.a	14	24.7	6.1	y	
UA008.13.a	17	22.4	4.6	y	
RO001.21.i	13	16.1	5.1	y	
TR005.20.h	13	13.1	2.9	y	
US012.31.d	16	25.9	5.6	y	
TR004.27.d	14	22.5	5	n	
US014.17.g	19	21.6	7.9	y	
GR001.24.b	11	29.7	5	n	
GR002.25.i	16	22	4.3	y	
RU008.16.f	19	19.9	4.3	y	
RU004.5.a	13	27.1	6	y	
GR003.12.c	26	22.6	5.6	n	
TR001.10.e	10	27.8	4.2	y	
RO005.23.j	19	19.6	4.9	y	
RO003.15.c	7	18.6	2.5	n	4.2
UA005.18.c	13	22.3	6.4	y	
US020.42.a	12	22	5.5	y	
UA003.8.h	16	27.2	7.1	y	
US022.31.b	14	19.6	4	y	
CA008.5.j	33	21.1	6.1	y	
RU001.10.g	13	26.1	4.7	y	
RO004.12.j	15	19.9	3.7	n	6.7
BG001.16.f	18	24.4	3.9	y	
US002.17.i	17	16.2	2.3	y	
UA004.27.j	20	20.5	3.4	y	
RO002.12.c	12	20.2	3.5	n	
UA001.11.g	11	23.8	6.1	y	
US001.20.b	12	22.6	5.9	n	
HU001.28.a	18	20.8	4.6	y	
RU005.11.b	19	15.6	2.9	y	
US003.6.f	11	23.1	6.3	n	
US015.13.h	14	17	4.3	n	
RU008.18.i	7	14.6	4.2	y	
US003.19.g	12	17	3.1	n	
RO002.13.d	9	14.9	4.7	y	
UA003.9A.b	12	22.1	5.2	y	
US015.3.d	18	18.2	5	y	
CA001.6.c	17	17.2	5.3	y	
GR002.8.h	12	13.1	3.4	y	20.4
RO004.21.i	13	21.4	4.1	y	
RU001.2.i	20	19.1	4.6	y	
TR004.14.d	20	17.4	5.6	y	
RO005.23.g	14	20.5	5.6	y	
TR003.24.g	7	14.9	2.1	y	
HU001.28.h	14	17.5	4.1	y	
RO003.9.g	17	17.9	3.8	y	
GR003.9.a	11	18.3	4.4	n 	
US002.17.d	18	23.3	3.5	y	
US021.8.g	15	19.5	5	n	
BG001.25.a	18	15.2	3.8	y	
RU004.7.c	16	26.1	4.9	y	
US022.42.a	20	21.1	3.6	y	
US014.16.e	20	25.4	4.9	y	
GR001.24.e	18	22.8	4.2	y	
UA005.7.a	16	26	5	y	
TR001.19.f	13	23.6	4.9	y	
UA004.27.e	16	24.5	7	y	
RO001.21.f	18	17.2	3.4	y	
US001.23.c	14	24.3	6.7	y	
CA008.5.g	17	22.7	4.8	y	
RO001.6.c	11	16.7	4.8	n	
RU004.6.a	14	26.8	6.5	y	
UA004.18.h	15	26.7	6	y	
CA001.2.a	10	19.1	4.2	n	
US002.22.i	12	19.5	5.4	n	
US020.24.f	13	22.7	3.8	y	
GR003.9.h	17	21	5.8	n	
GR001.6.e	11	25	5.6	n	
US026.15.c	14	18.4	5.4	n	
RU001.10.h	9	24.6	5.9	n	
