ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat
BG001.16.a	41	6	BG001	16	a	nat	cut
BG001.16.b	12	11	BG001	16	b	nat	control
BG001.16.c	15	5	BG001	16	c	nat	allo
BG001.16.d	14	26	BG001	16	d	nat	flood
BG001.16.e	23	26	BG001	16	e	nat	flood
BG001.16.f	5	40	BG001	16	f	nat	control
BG001.16.g	35	28	BG001	16	g	nat	flood
BG001.16.h	17	48	BG001	16	h	nat	drought
BG001.16.i	1	37	BG001	16	i	nat	drought
BG001.16.j	24	43	BG001	16	j	nat	control
BG001.17.a	21	31	BG001	17	a	nat	allo
BG001.17.b	36	13	BG001	17	b	nat	nut def
BG001.17.c	20	38	BG001	17	c	nat	nut def
BG001.17.d	18	23	BG001	17	d	nat	control
BG001.17.e	34	39	BG001	17	e	nat	control
BG001.17.f	29	31	BG001	17	f	nat	control
BG001.17.g	27	3	BG001	17	g	nat	nut def
BG001.17.h	46	43	BG001	17	h	nat	drought
BG001.17.i	39	38	BG001	17	i	nat	flood
BG001.17.j	10	6	BG001	17	j	nat	cut
BG001.22.a	28	49	BG001	22	a	nat	allo
BG001.22.b	44	4	BG001	22	b	nat	control
BG001.22.c	2	31	BG001	22	c	nat	nut def
BG001.22.d	26	28	BG001	22	d	nat	nut def
BG001.22.e	37	36	BG001	22	e	nat	drought
BG001.22.f	30	25	BG001	22	f	nat	control
BG001.22.g	49	21	BG001	22	g	nat	nut def
BG001.22.h	7	29	BG001	22	h	nat	control
BG001.22.i	4	19	BG001	22	i	nat	cut
BG001.22.j	47	40	BG001	22	j	nat	nut def
BG001.25.a	6	36	BG001	25	a	nat	control
BG001.25.b	40	10	BG001	25	b	nat	control
BG001.25.c	31	5	BG001	25	c	nat	allo
BG001.25.d	19	40	BG001	25	d	nat	drought
BG001.25.e	11	48	BG001	25	e	nat	cut
BG001.25.f	33	12	BG001	25	f	nat	cut
BG001.25.g	32	16	BG001	25	g	nat	allo
BG001.25.h	16	8	BG001	25	h	nat	cut
BG001.25.i	13	34	BG001	25	i	nat	nut def
BG001.25.j	22	50	BG001	25	j	nat	allo
BG001.29.a	43	33	BG001	29	a	nat	flood
BG001.29.b	42	21	BG001	29	b	nat	allo
BG001.29.c	45	35	BG001	29	c	nat	flood
BG001.29.d	9	35	BG001	29	d	nat	control
BG001.29.e	25	47	BG001	29	e	nat	control
BG001.29.f	50	36	BG001	29	f	nat	drought
BG001.29.g	38	17	BG001	29	g	nat	cut
BG001.29.h	3	16	BG001	29	h	nat	flood
BG001.29.i	48	36	BG001	29	i	nat	drought
BG001.29.j	8	37	BG001	29	j	nat	allo
CA001.2.a	7	6	CA001	2	a	inv	control
CA001.2.b	18	10	CA001	2	b	inv	control
CA001.2.c	11	6	CA001	2	c	inv	cut
CA001.2.d	3	4	CA001	2	d	inv	flood
CA001.2.e	4	24	CA001	2	e	inv	cut
CA001.2.f	49	28	CA001	2	f	inv	nut def
CA001.2.g	37	35	CA001	2	g	inv	drought
CA001.2.h	15	46	CA001	2	h	inv	allo
CA001.2.i	44	9	CA001	2	i	inv	control
CA001.2.j	10	41	CA001	2	j	inv	cut
CA001.3.a	36	11	CA001	3	a	inv	nut def
CA001.3.b	26	20	CA001	3	b	inv	nut def
CA001.3.c	21	46	CA001	3	c	inv	allo
CA001.3.d	19	19	CA001	3	d	inv	drought
CA001.3.e	48	28	CA001	3	e	inv	drought
CA001.3.f	47	14	CA001	3	f	inv	nut def
CA001.3.g	5	6	CA001	3	g	inv	control
CA001.3.h	35	29	CA001	3	h	inv	flood
CA001.3.i	31	25	CA001	3	i	inv	allo
CA001.3.j	16	18	CA001	3	j	inv	cut
CA001.4.a	29	19	CA001	4	a	inv	control
CA001.4.b	23	45	CA001	4	b	inv	flood
CA001.4.c	13	5	CA001	4	c	inv	nut def
CA001.4.d	32	2	CA001	4	d	inv	allo
CA001.4.e	42	20	CA001	4	e	inv	allo
CA001.4.f	9	28	CA001	4	f	inv	control
CA001.4.g	30	45	CA001	4	g	inv	control
CA001.4.h	1	25	CA001	4	h	inv	drought
CA001.4.i	43	27	CA001	4	i	inv	flood
CA001.4.j	38	4	CA001	4	j	inv	cut
CA001.6.a	33	11	CA001	6	a	inv	cut
CA001.6.b	39	21	CA001	6	b	inv	flood
CA001.6.c	6	12	CA001	6	c	inv	control
CA001.6.d	22	17	CA001	6	d	inv	allo
CA001.6.e	34	42	CA001	6	e	inv	control
CA001.6.f	8	27	CA001	6	f	inv	allo
CA001.6.h	41	2	CA001	6	h	inv	cut
CA001.6.i	24	13	CA001	6	i	inv	control
CA001.6.j	50	9	CA001	6	j	inv	drought
CA001.6.k	2	20	CA001	6	k	inv	nut def
CA001.7.a	45	50	CA001	7	a	inv	flood
CA001.7.b	20	20	CA001	7	b	inv	nut def
CA001.7.c	14	6	CA001	7	c	inv	flood
CA001.7.d	25	26	CA001	7	d	inv	control
CA001.7.e	27	16	CA001	7	e	inv	nut def
CA001.7.f	46	27	CA001	7	f	inv	drought
CA001.7.g	28	6	CA001	7	g	inv	allo
CA001.7.h	40	29	CA001	7	h	inv	control
CA001.7.i	12	32	CA001	7	i	inv	control
CA001.7.j	17	17	CA001	7	j	inv	drought
CA007.1.a	7	45	CA007	1	a	inv	control
CA007.2.a	11	2	CA007	2	a	inv	cut
CA007.2.b	20	5	CA007	2	b	inv	nut def
CA007.2.c	19	48	CA007	2	c	inv	drought
CA007.2.d	18	17	CA007	2	d	inv	control
CA007.2.e	14	2	CA007	2	e	inv	flood
CA007.20.a	11	12	CA007	20	a	inv	cut
CA007.3.a	5	7	CA007	3	a	inv	control
CA007.3.b	3	28	CA007	3	b	inv	flood
CA007.3.c	2	25	CA007	3	c	inv	nut def
CA007.4.a	10	11	CA007	4	a	inv	cut
CA007.4.b	9	32	CA007	4	b	inv	control
CA007.5.a	1	2	CA007	5	a	inv	drought
CA008.2.a	13	44	CA008	2	a	inv	nut def
CA008.2.b	12	45	CA008	2	b	inv	control
CA008.2.c	49	20	CA008	2	c	inv	nut def
CA008.2.d	16	33	CA008	2	d	inv	cut
CA008.2.e	1	43	CA008	2	e	inv	drought
CA008.4.a	19	27	CA008	4	a	inv	drought
CA008.4.b	33	49	CA008	4	b	inv	cut
CA008.4.c	27	20	CA008	4	c	inv	nut def
CA008.4.d	17	16	CA008	4	d	inv	drought
CA008.4.e	21	28	CA008	4	e	inv	allo
CA008.4.f	41	26	CA008	4	f	inv	cut
CA008.4.g	40	36	CA008	4	g	inv	control
CA008.4.h	7	38	CA008	4	h	inv	control
CA008.4.i	44	18	CA008	4	i	inv	control
CA008.4.j	36	24	CA008	4	j	inv	nut def
CA008.4.m	39	41	CA008	4	m	inv	flood
CA008.5.a	11	43	CA008	5	a	inv	cut
CA008.5.b	22	11	CA008	5	b	inv	allo
CA008.5.c	25	12	CA008	5	c	inv	control
CA008.5.d	8	36	CA008	5	d	inv	allo
CA008.5.e	37	17	CA008	5	e	inv	drought
CA008.5.f	47	12	CA008	5	f	inv	nut def
CA008.5.g	6	50	CA008	5	g	inv	control
CA008.5.h	3	20	CA008	5	h	inv	flood
CA008.5.i	18	40	CA008	5	i	inv	control
CA008.5.j	5	35	CA008	5	j	inv	control
CA008.5.l	32	23	CA008	5	l	inv	allo
CA008.5.m	50	6	CA008	5	m	inv	drought
CA008.6.a	30	43	CA008	6	a	inv	control
CA008.6.b	14	21	CA008	6	b	inv	flood
CA008.6.c	42	49	CA008	6	c	inv	allo
CA008.6.d	23	6	CA008	6	d	inv	flood
CA008.6.e	28	21	CA008	6	e	inv	allo
CA008.6.f	24	14	CA008	6	f	inv	control
CA008.6.g	2	7	CA008	6	g	inv	nut def
CA008.6.h	9	47	CA008	6	h	inv	control
CA008.6.i	35	1	CA008	6	i	inv	flood
GR001.14.a	1	14	GR001	14	a	nat	drought
GR001.14.b	3	48	GR001	14	b	nat	flood
GR001.14.c	49	13	GR001	14	c	nat	nut def
GR001.14.d	23	15	GR001	14	d	nat	flood
GR001.14.e	40	43	GR001	14	e	nat	control
GR001.14.f	17	46	GR001	14	f	nat	drought
GR001.14.g	46	5	GR001	14	g	nat	drought
GR001.14.h	41	27	GR001	14	h	nat	cut
GR001.14.i	33	4	GR001	14	i	nat	cut
GR001.14.j	37	8	GR001	14	j	nat	drought
GR001.14.l	4	35	GR001	14	l	nat	cut
GR001.24.a	15	19	GR001	24	a	nat	allo
GR001.24.b	5	17	GR001	24	b	nat	control
GR001.24.d	25	3	GR001	24	d	nat	control
GR001.24.e	6	41	GR001	24	e	nat	control
GR001.24.f	30	2	GR001	24	f	nat	control
GR001.24.g	31	34	GR001	24	g	nat	allo
GR001.26.b	48	1	GR001	26	b	nat	drought
GR001.26.c	11	49	GR001	26	c	nat	cut
GR001.26.d	28	30	GR001	26	d	nat	allo
GR001.26.e	13	43	GR001	26	e	nat	nut def
GR001.26.f	14	35	GR001	26	f	nat	flood
GR001.26.g	38	18	GR001	26	g	nat	cut
GR001.26.h	44	29	GR001	26	h	nat	control
GR001.26.i	20	6	GR001	26	i	nat	nut def
GR001.26.j	22	49	GR001	26	j	nat	allo
GR001.26.l	39	32	GR001	26	l	nat	flood
GR001.28.a	50	4	GR001	28	a	nat	drought
GR001.28.b	12	29	GR001	28	b	nat	control
GR001.28.c	43	10	GR001	28	c	nat	flood
GR001.28.d	45	43	GR001	28	d	nat	flood
GR001.28.e	42	35	GR001	28	e	nat	allo
GR001.28.f	26	21	GR001	28	f	nat	nut def
GR001.28.g	34	20	GR001	28	g	nat	control
GR001.28.h	16	3	GR001	28	h	nat	cut
GR001.28.i	47	32	GR001	28	i	nat	nut def
GR001.28.j	32	15	GR001	28	j	nat	allo
GR001.6.a	21	4	GR001	6	a	nat	allo
GR001.6.b	10	10	GR001	6	b	nat	cut
GR001.6.c	2	32	GR001	6	c	nat	nut def
GR001.6.d	36	35	GR001	6	d	nat	nut def
GR001.6.e	7	11	GR001	6	e	nat	control
GR001.6.f	27	32	GR001	6	f	nat	nut def
GR001.6.g	35	46	GR001	6	g	nat	flood
GR002.17.b	35	32	GR002	17	b	nat	flood
GR002.17.e	46	35	GR002	17	e	nat	drought
GR002.17.f	12	40	GR002	17	f	nat	control
GR002.13.a	29	35	GR002	13	a	nat	control
GR002.13.b	34	36	GR002	13	b	nat	control
GR002.13.c	10	23	GR002	13	c	nat	cut
GR002.13.d	27	30	GR002	13	d	nat	nut def
GR002.13.e	45	9	GR002	13	e	nat	flood
GR002.13.f	40	19	GR002	13	f	nat	control
GR002.13.g	23	44	GR002	13	g	nat	flood
GR002.13.h	48	39	GR002	13	h	nat	drought
GR002.13.i	1	26	GR002	13	i	nat	drought
GR002.13.j	38	7	GR002	13	j	nat	cut
GR002.17.a	47	37	GR002	17	a	nat	nut def
GR002.17.c	13	50	GR002	17	c	nat	nut def
GR002.17.d	7	35	GR002	17	d	nat	control
GR002.2.a	32	48	GR002	2	a	nat	allo
GR002.2.b	39	25	GR002	2	b	nat	flood
GR002.2.c	20	26	GR002	2	c	nat	nut def
GR002.2.d	50	50	GR002	2	d	nat	drought
GR002.2.e	22	24	GR002	2	e	nat	allo
GR002.2.f	49	12	GR002	2	f	nat	nut def
GR002.2.g	30	20	GR002	2	g	nat	control
GR002.2.h	8	28	GR002	2	h	nat	allo
GR002.2.i	44	39	GR002	2	i	nat	control
GR002.2.j	11	23	GR002	2	j	nat	cut
GR002.25.a	36	14	GR002	25	a	nat	nut def
GR002.25.b	14	3	GR002	25	b	nat	flood
GR002.25.c	37	26	GR002	25	c	nat	drought
GR002.25.d	24	29	GR002	25	d	nat	control
GR002.25.e	17	44	GR002	25	e	nat	drought
GR002.25.f	31	9	GR002	25	f	nat	allo
GR002.25.g	2	14	GR002	25	g	nat	nut def
GR002.25.h	3	49	GR002	25	h	nat	flood
GR002.25.i	5	19	GR002	25	i	nat	control
GR002.25.j	43	5	GR002	25	j	nat	flood
GR002.8.a	33	50	GR002	8	a	nat	cut
GR002.8.b	9	49	GR002	8	b	nat	control
GR002.8.c	15	20	GR002	8	c	nat	allo
GR002.8.d	28	13	GR002	8	d	nat	allo
GR002.8.e	41	47	GR002	8	e	nat	cut
GR002.8.f	21	20	GR002	8	f	nat	allo
GR002.8.g	26	27	GR002	8	g	nat	nut def
GR002.8.h	6	15	GR002	8	h	nat	control
GR002.8.i	42	39	GR002	8	i	nat	allo
GR002.8.j	18	7	GR002	8	j	nat	control
GR003.10.a	9	20	GR003	10	a	nat	control
GR003.10.b	16	12	GR003	10	b	nat	cut
GR003.10.c	13	30	GR003	10	c	nat	nut def
GR003.10.d	33	30	GR003	10	d	nat	cut
GR003.10.e	18	37	GR003	10	e	nat	control
GR003.10.f	1	5	GR003	10	f	nat	drought
GR003.10.g	24	34	GR003	10	g	nat	control
GR003.10.h	19	34	GR003	10	h	nat	drought
GR003.10.i	49	16	GR003	10	i	nat	nut def
GR003.10.j	42	19	GR003	10	j	nat	allo
GR003.12.a	27	2	GR003	12	a	nat	nut def
GR003.12.b	2	16	GR003	12	b	nat	nut def
GR003.12.c	5	25	GR003	12	c	nat	control
GR003.12.d	10	17	GR003	12	d	nat	cut
GR003.12.e	43	4	GR003	12	e	nat	flood
GR003.12.f	22	12	GR003	12	f	nat	allo
GR003.12.g	21	15	GR003	12	g	nat	allo
GR003.12.h	45	18	GR003	12	h	nat	flood
GR003.12.i	34	43	GR003	12	i	nat	control
GR003.12.j	12	1	GR003	12	j	nat	control
GR003.17.a	29	42	GR003	17	a	nat	control
GR003.17.b	41	17	GR003	17	b	nat	cut
GR003.17.c	36	27	GR003	17	c	nat	nut def
GR003.17.d	40	27	GR003	17	d	nat	control
GR003.17.e	44	14	GR003	17	e	nat	control
GR003.17.f	14	24	GR003	17	f	nat	flood
GR003.17.g	17	5	GR003	17	g	nat	drought
GR003.17.h	25	40	GR003	17	h	nat	control
GR003.17.i	31	18	GR003	17	i	nat	allo
GR003.17.j	35	44	GR003	17	j	nat	flood
GR003.3.a	38	23	GR003	3	a	nat	cut
GR003.3.b	39	45	GR003	3	b	nat	flood
GR003.3.c	50	17	GR003	3	c	nat	drought
GR003.3.d	32	32	GR003	3	d	nat	allo
GR003.3.e	4	25	GR003	3	e	nat	cut
GR003.3.f	46	32	GR003	3	f	nat	drought
GR003.3.g	11	14	GR003	3	g	nat	cut
GR003.3.h	23	11	GR003	3	h	nat	flood
GR003.3.i	8	21	GR003	3	i	nat	allo
GR003.3.m	3	50	GR003	3	m	nat	flood
GR003.9.a	6	32	GR003	9	a	nat	control
GR003.9.b	37	42	GR003	9	b	nat	drought
GR003.9.c	30	6	GR003	9	c	nat	control
GR003.9.d	28	41	GR003	9	d	nat	allo
GR003.9.e	15	33	GR003	9	e	nat	allo
GR003.9.f	47	35	GR003	9	f	nat	nut def
GR003.9.g	48	47	GR003	9	g	nat	drought
GR003.9.h	7	9	GR003	9	h	nat	control
GR003.9.i	20	41	GR003	9	i	nat	nut def
HU001.13.a	14	10	HU001	13	a	nat	flood
HU001.13.b	41	36	HU001	13	b	nat	cut
HU001.13.e	20	49	HU001	13	e	nat	nut def
HU001.13.f	35	3	HU001	13	f	nat	flood
HU001.13.g	22	33	HU001	13	g	nat	allo
HU001.13.h	23	40	HU001	13	h	nat	flood
HU001.13.j	3	46	HU001	13	j	nat	flood
HU001.14.a	1	40	HU001	14	a	nat	drought
HU001.14.b	34	40	HU001	14	b	nat	control
HU001.14.c	27	50	HU001	14	c	nat	nut def
HU001.14.d	33	44	HU001	14	d	nat	cut
HU001.14.f	2	2	HU001	14	f	nat	nut def
HU001.14.g	43	41	HU001	14	g	nat	flood
HU001.14.h	16	39	HU001	14	h	nat	cut
HU001.14.i	32	11	HU001	14	i	nat	allo
HU001.14.j	39	22	HU001	14	j	nat	flood
HU001.14.k	11	9	HU001	14	k	nat	cut
HU001.14.m	17	28	HU001	14	m	nat	drought
HU001.24.a	38	35	HU001	24	a	nat	cut
HU001.24.b	40	28	HU001	24	b	nat	control
HU001.24.c	48	38	HU001	24	c	nat	drought
HU001.24.d	21	12	HU001	24	d	nat	allo
HU001.24.e	37	10	HU001	24	e	nat	drought
HU001.24.f	10	45	HU001	24	f	nat	cut
HU001.24.g	15	7	HU001	24	g	nat	allo
HU001.24.h	7	27	HU001	24	h	nat	control
HU001.24.i	30	18	HU001	24	i	nat	control
HU001.24.j	24	45	HU001	24	j	nat	control
HU001.24.k	19	30	HU001	24	k	nat	drought
HU001.28.a	5	47	HU001	28	a	nat	control
HU001.28.b	42	15	HU001	28	b	nat	allo
HU001.28.c	4	29	HU001	28	c	nat	cut
HU001.28.d	45	46	HU001	28	d	nat	flood
HU001.28.e	18	14	HU001	28	e	nat	control
HU001.28.f	28	11	HU001	28	f	nat	allo
HU001.28.g	9	44	HU001	28	g	nat	control
HU001.28.h	6	26	HU001	28	h	nat	control
HU001.28.i	49	7	HU001	28	i	nat	nut def
HU001.28.j	50	32	HU001	28	j	nat	drought
HU001.28.m	29	27	HU001	28	m	nat	control
HU001.5.a	12	38	HU001	5	a	nat	control
HU001.5.b	8	38	HU001	5	b	nat	allo
HU001.5.c	36	16	HU001	5	c	nat	nut def
HU001.5.d	25	28	HU001	5	d	nat	control
HU001.5.e	31	47	HU001	5	e	nat	allo
HU001.5.g	46	9	HU001	5	g	nat	drought
HU001.5.h	13	41	HU001	5	h	nat	nut def
HU001.5.j	44	43	HU001	5	j	nat	control
HU001.5.k	47	41	HU001	5	k	nat	nut def
HU001.5.l	26	49	HU001	5	l	nat	nut def
RO001.12.a	12	20	RO001	12	a	nat	control
RO001.12.b	22	43	RO001	12	b	nat	allo
RO001.12.c	46	26	RO001	12	c	nat	drought
RO001.12.d	21	33	RO001	12	d	nat	allo
RO001.12.e	18	34	RO001	12	e	nat	control
RO001.12.f	35	15	RO001	12	f	nat	flood
RO001.12.g	48	18	RO001	12	g	nat	drought
RO001.12.h	45	44	RO001	12	h	nat	flood
RO001.12.i	23	37	RO001	12	i	nat	flood
RO001.12.j	39	34	RO001	12	j	nat	flood
RO001.13.a	32	26	RO001	13	a	nat	allo
RO001.13.b	44	27	RO001	13	b	nat	control
RO001.13.c	20	12	RO001	13	c	nat	nut def
RO001.13.d	10	43	RO001	13	d	nat	cut
RO001.13.e	42	30	RO001	13	e	nat	allo
RO001.13.f	14	47	RO001	13	f	nat	flood
RO001.13.g	26	26	RO001	13	g	nat	nut def
RO001.13.h	2	18	RO001	13	h	nat	nut def
RO001.13.i	33	27	RO001	13	i	nat	cut
RO001.13.j	43	6	RO001	13	j	nat	flood
RO001.21.a	49	11	RO001	21	a	nat	nut def
RO001.21.b	17	20	RO001	21	b	nat	drought
RO001.21.c	15	14	RO001	21	c	nat	allo
RO001.21.d	11	39	RO001	21	d	nat	cut
RO001.21.e	41	12	RO001	21	e	nat	cut
RO001.21.f	6	47	RO001	21	f	nat	control
RO001.21.g	36	17	RO001	21	g	nat	nut def
RO001.21.h	27	46	RO001	21	h	nat	nut def
RO001.21.i	5	9	RO001	21	i	nat	control
RO001.21.j	19	13	RO001	21	j	nat	drought
RO001.28.a	29	6	RO001	28	a	nat	control
RO001.28.b	9	4	RO001	28	b	nat	control
RO001.28.c	34	37	RO001	28	c	nat	control
RO001.28.d	8	26	RO001	28	d	nat	allo
RO001.28.e	38	36	RO001	28	e	nat	cut
RO001.28.f	25	45	RO001	28	f	nat	control
RO001.28.g	4	32	RO001	28	g	nat	cut
RO001.28.h	28	50	RO001	28	h	nat	allo
RO001.6.a	1	46	RO001	6	a	nat	drought
RO001.6.b	13	14	RO001	6	b	nat	nut def
RO001.6.c	7	1	RO001	6	c	nat	control
